file,row_index,correct_answer,rationale
1051_Harry_Potter_and_the_goblet_of_fire/segment_0031.mp4,42,C,"In the target scene, the individual who was shown earlier in the tent is seen walking across the rocks toward a large, shiny golden egg placed in the center of the arena."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0006.mp4,43,B,"In the target scene, people are seen running frantically and shouting through the campsite in the dark, which contrasts with the context showing a large crowd cheering while seated in an organized stadium."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0012.mp4,44,C,"In the target scene, the man wearing the dark fur hat walks to the front of the hall and embraces the man with the long white beard and glasses."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0046.mp4,45,B,"After the character wakes up from his vision, another person is shown standing near the bed holding a pair of black shoes in both hands."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0065.mp4,46,B,"After the individuals land in the graveyard, the glowing blue trophy is shown lying on the grassy ground at a distance from them."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0073.mp4,47,B,"In the target scene, starting around 00:33, the man is seen opening a compartmentalized wooden box and frantically picking up and inspecting several small glass bottles."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0070.mp4,48,B,"During the wide shot of the duel, the blue glowing object is visible on the ground next to the person who is lying still on the grass."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0074.mp4,49,C,"In the target scene, the man being held begins to contort and transform. He then uses a small blade to pry a rotating mechanical eye out of his eye socket, which subsequently falls and rolls on the floor."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0020.mp4,50,A,"After the flames in the stone vessel turn from blue to pink, a slip of paper is propelled high into the air; the man with the long white beard reaches out and catches it as it drifts back down."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0019.mp4,51,B,"In the target scene, the flame is seen transitioning to a pink color and throwing a small, burnt piece of paper into the air, which is then caught by the man in the blue robe."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0043.mp4,52,C,The man is shown bringing the metal flask to his lips and tilting it back to drink from it.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0014.mp4,53,B,"The context shows a golden tower-like structure being transformed to reveal a goblet that ignites with a blue flame. In the target scene, this same goblet with the blue flame is visible in the center of the hall as the man opens the doors and enters."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0041.mp4,54,B,"As the red-haired boy walks into the hall with a girl in a pink sari, he is clearly wearing a dark brown suit with very prominent white lace ruffles at his neck and sleeves. This is the same outfit shown in detail while he was getting ready earlier in the video."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0024.mp4,55,C,"In the target scene, the boy reaches toward the black bird’s beak and retrieves a folded piece of paper, which he then proceeds to open."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0057.mp4,56,C,"In the target scene, the character who fell through the basin is seen sitting on a bench directly beside an older man with a long grey beard and long hair. The older man's arm is even seen passing through the character's body as he reaches for a piece of paper."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0025.mp4,57,C,"A close-up shot towards the end shows the newspaper, featuring the same ""Teenage Tragedy"" headline seen previously, being consumed by fire within the fireplace."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0028.mp4,58,B,"In the target scene, after the woman in black uses her wand to transform the white animal back into the blonde boy, he immediately gets up and runs away as the man with the prosthetic eye tries to chase him."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0026.mp4,59,B,"In the latter part of the video, the large, bearded man is clearly shown walking through the dark forest while holding a large, distinct orange and red flower."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0023.mp4,60,B,"The boy with glasses, who is shown getting into a bed with red curtains during the context portion, is seen at the end of the video standing inside a small, dark closet or room alongside a woman dressed in green. While a magical quill is writing on its own nearby, the boy is just standing there."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0042.mp4,61,B,"In the target scene, as the girl in the orange and pink outfit moves through the crowd with her partner, she is clearly seen raising her right hand and waving to the people standing along the path."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0071.mp4,62,C,"In the target scene, after the boy disappears with the glowing cup, the bald man is shown looking around the empty space before tilting his head back and letting out a long, wide-mouthed scream."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0076.mp4,63,B,"In the target scene, the girl wearing the light blue uniform (seen earlier as part of a visiting group in the courtyard) leans down and kisses the seated red-haired boy on the top of his head."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0058.mp4,64,C,"As the liquid in the stone basin swirls, the face of the man who was shown earlier being held back by guards in the courtroom-like setting is clearly visible."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0027.mp4,65,B,"At the end of the clip, as the boy from the forest (Harry) has a private conversation with another student (Cedric), a figure with a prominent eye patch is shown watching them from behind some tree branches. Options A, C, and E represent characters or creatures seen in the earlier forest context but who are not present or observing in this specific way during the target scene."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0013.mp4,66,C,"The target scene includes a brief shot from the man's point of view, which uses a fisheye-style circular lens to show a distorted and magnified view of the students at the table."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0063.mp4,67,C,"In the target scene, the person in the yellow and black shirt is shown repeatedly casting spells at an individual who is lying on the ground until the person in the red and black shirt physically stops them."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0053.mp4,68,C,The person with glasses is shown underwater holding onto two floating individuals—the boy who was seen with him earlier and a girl with long hair—as they are swarmed by small creatures.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0008.mp4,69,B,"In the target scene, the individual who was previously seen lying on the ground is shown standing between two others and places his hand on his forehead while looking at the green skull-shaped image in the sky."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0035.mp4,70,B,"The target scene shows the individual on the broomstick flying toward a rock formation and grabbing a large, shiny golden egg that was sitting on top of it."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0068.mp4,71,C,"The dark smoke that rises from the mark on the arm gathers in the sky to form a large, distinct skull with a snake protruding from its mouth."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0040.mp4,72,C,"In the target scene, the boy previously seen in the tower is shown standing in a room and watching as several girls support a dazed boy in a striped sweater while they enter through a doorway."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0016.mp4,73,C,"In the target scene, a green light from the wand hits the insect, causing it to flip over onto its back and stop moving entirely."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0034.mp4,74,C,"After the person mounts the long-handled object and flies away, the dragon breathes a burst of fire at them, and the bristle end of the object is clearly seen catching fire as they continue to fly."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0055.mp4,75,C,The camera shows a close-up of a black hat lying on the ground among dry leaves and twigs in the misty forest. The boy is then seen looking down at the hat as he walks past.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0048.mp4,76,B,"In the library scene, the individual in the striped sweater is clearly seen holding the golden egg-shaped object that was previously shown being used in the bath."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0007.mp4,77,B,The area previously filled with standing tents is shown as a dark landscape covered in debris and vertical poles with plumes of smoke rising from the ground.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0067.mp4,78,C,"After fully forming from the smoke, the pale figure is seen raising both hands to its face, touching its nose area and then holding the sides of its bald head."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0011.mp4,79,C,"As the tall woman walks through the hall between the tables of students in the target scene, she is clearly shown wearing a dress with a prominent fur collar around her neck."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0072.mp4,80,B,"After entering the room, the man with the eye patch is seen closing the door and manually sliding several metal bolts into place to lock it."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0038.mp4,81,A,"In the scene by the water, a girl with long brown hair is seated on a rock between the two boys who were established as a pair earlier in the courtyard."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0050.mp4,82,B,"In the final moments of the video, the girl wearing a mask is suddenly grabbed and pulled backward into the distance, leaving a large cloud of bubbles where she was just swimming."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0017.mp4,83,C,"In the target scene, the red-haired boy identified from the context (walking down the stairs with the boy in glasses) is shown standing in the crowd. As a student is being celebrated after placing a paper in the cup, this specific boy smiles and waves his hand. While other red-haired students are seen earlier in the hall pushing that same student toward the center, the boy from the staircase specifically performs the action of waving."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0005.mp4,84,B,"In the target scene, the boy with glasses from the earlier group is shown wearing a large top hat that is divided into red and black sections while he cheers with his friends."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0045.mp4,85,B,"The girl is shown sitting on a stone staircase, reaching down with her hand to pull off her left shoe and set it down."
3015_CHARLIE_ST_CLOUD/segment_0004.mp4,86,B,"In the final moments of the scene, a white baseball is seen rolling on the grass and coming to a stop near the red baseball glove."
3015_CHARLIE_ST_CLOUD/segment_0021.mp4,87,C,"In the target scene, the man's bare chest and shoulders are clearly visible as he lies on the grass. This contrasts with the earlier context where he is seen wearing a black t-shirt under a light-colored shirt."
3015_CHARLIE_ST_CLOUD/segment_0030.mp4,88,C,"In the target scene, the young man is shown lying flat on his back on a padded bench with his arms folded across his chest while he speaks to the other man."
3015_CHARLIE_ST_CLOUD/segment_0015.mp4,89,C,"In the target scene, the man is shown in a forest setting wearing a light blue t-shirt while playing catch with a baseball. This contrasts with the dark blue jacket he was wearing in the earlier scenes on the balcony."
3015_CHARLIE_ST_CLOUD/segment_0029.mp4,90,C,"Near the end of the clip, the man is shown bending down to the floor and placing the silver pendant directly onto a small yellow piece of paper that features a red geometric symbol."
3015_CHARLIE_ST_CLOUD/segment_0018.mp4,91,B,"A cardboard box stacked in the background of the room is clearly labeled with the text ""RED SOX"" and a logo, which refers to the baseball game seen previously."
3015_CHARLIE_ST_CLOUD/segment_0010.mp4,92,B,"At the end of the video, the man is looking at a magazine page that features a photograph of the sailboat with the ""CS"" logo on its sail, which was shown earlier in the clip."
3015_CHARLIE_ST_CLOUD/segment_0009.mp4,93,A,"In the target scene, the older man sitting at the diner table has no head covering. In the context (around 26 seconds into the video), the same man is clearly seen wearing a brown cap when he and the younger man bump into each other outside a shop."
3015_CHARLIE_ST_CLOUD/segment_0037.mp4,94,B,"When the man turns his body to look behind him in the forest, a watch with a dark strap is clearly visible on his left wrist."
3015_CHARLIE_ST_CLOUD/segment_0020.mp4,95,C,"In the target scene, the man is clearly shown holding a glass jar with a visible flame inside while he walks through the cemetery and subsequently kisses the woman."
3015_CHARLIE_ST_CLOUD/segment_0019.mp4,96,B,"While the beginning of the scene focuses on the woman looking at boat sketches on the wall, she is later shown pointing to a large world map and tracing a path across the ocean with her finger."
3015_CHARLIE_ST_CLOUD/segment_0014.mp4,97,C,"In the target scene, the woman turns the page of the sketchbook to reveal a pencil drawing of a sailboat on the water. This is clearly visible before she mentions it is her boat."
3015_CHARLIE_ST_CLOUD/segment_0024.mp4,98,C,"In the target scene, as the woman walks across the room and prepares to leave, the dog gets up from the rug and follows her, leaving behind the blue rope toy it was previously chewing on."
3015_CHARLIE_ST_CLOUD/segment_0002.mp4,99,C,The passenger is shown holding and repeatedly striking the driver with a large red foam finger as they drive through the city.
3015_CHARLIE_ST_CLOUD/segment_0025.mp4,100,B,"In the target scene, while sitting at the bar, the man who was previously shown at home turns his head and upper body to look over his shoulder toward the officials as they address the people in the cafe."
3015_CHARLIE_ST_CLOUD/segment_0028.mp4,101,B,"The boy moves forward from his position in the background, approaches the man, and sits down on the forest floor next to him."
3015_CHARLIE_ST_CLOUD/segment_0026.mp4,102,B,"In the target scene, when the man holds his head and cries, a watch with a distinctive blue strap and a yellow face is clearly visible on his wrist. This same watch was established earlier in the video while he was in the garage looking at the boat."
3015_CHARLIE_ST_CLOUD/segment_0023.mp4,103,D,"In the target scene, the woman is visibly standing in a wooded area surrounded by numerous trees, ferns, and moss-covered logs."
3015_CHARLIE_ST_CLOUD/segment_0027.mp4,104,B,"In the final moments, the man opens a wooden drawer and is seen reaching toward a black baseball glove that is sitting inside on top of other items."
3015_CHARLIE_ST_CLOUD/segment_0022.mp4,105,B,"The woman is shown sitting on a sailboat that features a large white sail with a distinct red section, which matches the subject of the drawing seen on the note."
3015_CHARLIE_ST_CLOUD/segment_0008.mp4,106,C,"In the final shots of the video, the airplane is shown floating stationary on the surface of the dark lake at night while the man swims nearby."
3015_CHARLIE_ST_CLOUD/segment_0035.mp4,107,B,"At the beginning of the target scene, the man is shown drinking from a blue cup. He then hands the cup back to the person sitting in the chair beside his bed."
3015_CHARLIE_ST_CLOUD/segment_0001.mp4,108,C,The man is shown exiting the house through a second-story window at night and landing on a small boat parked alongside the building before running away.
3015_CHARLIE_ST_CLOUD/segment_0034.mp4,109,C,"In the final bright sequence of the video, the woman is seen lying on the rocky ground with the man, and her red jacket remains on her but is clearly unzipped and open at the front."
3015_CHARLIE_ST_CLOUD/segment_0011.mp4,110,C,The man is shown at the harbor holding a pencil and sketching on a pad attached to a clipboard. He continues this until he is startled by a man in a patterned shirt who grabs his shoulders from behind.
3015_CHARLIE_ST_CLOUD/segment_0017.mp4,111,B,"After the man follows the woman from the building and through the trees, he catches up to her on a beach area covered in large dark rocks and driftwood next to a body of water."
3034_IDES_OF_MARCH/segment_0004.mp4,112,B,"In the workspace seen through the glass, there are posters on the wall that depict the face of the man who was earlier shown sitting and talking while wearing a blue shirt and a tie."
3034_IDES_OF_MARCH/segment_0021.mp4,113,B,"At the beginning of the target scene, the camera focuses on a close-up of the man in the foreground. In the background, the man who was seen walking around the room earlier in the context is now sitting in an armchair. He has a laptop on his lap, which is visible as a silver rectangular object, continuing the action he was shown doing just before the close-up."
3034_IDES_OF_MARCH/segment_0030.mp4,114,B,"In the close-up shots of the man with the blue tie, several clear pitchers are clearly visible on the metal shelving unit positioned behind him."
3034_IDES_OF_MARCH/segment_0033.mp4,115,B,"The man introduced earlier while shaving is clearly seen sitting in a church pew among the audience during the target scene, particularly at the 00:37 and 00:46 marks."
3034_IDES_OF_MARCH/segment_0000.mp4,116,B,"At 00:15, a newspaper with the headline ""Ohio primary too close to call"" displays photos of two men. These same two men are later seen shaking hands on a stage in front of an audience starting at 00:41."
3034_IDES_OF_MARCH/segment_0015.mp4,117,C,"After the man calls out into the busy room, the blonde woman seen previously working at a desk stands up and begins walking towards him."
3034_IDES_OF_MARCH/segment_0029.mp4,118,D,"In the target scene, the man walks through a dark bar and enters a room filled with industrial-sized metal pots, stacks of white dishes, and shelves of various glass bottles, which are characteristic of a commercial kitchen."
3034_IDES_OF_MARCH/segment_0036.mp4,119,C,"In the target scene, the man walks past the woman and a security guard to enter a doorway by himself, while the woman remains stationary in the hallway where they were previously walking and talking."
3034_IDES_OF_MARCH/segment_0018.mp4,120,D,"The woman who approaches the car and gets into the passenger seat has blonde hair, as seen when she walks past the campaign bus."
3034_IDES_OF_MARCH/segment_0010.mp4,121,B,"In the target scene, the man with blonde hair and glasses is shown in an office setting, holding a black telephone receiver to his ear and talking. He is visible in multiple shots during his phone conversation."
3034_IDES_OF_MARCH/segment_0031.mp4,122,C,"In the target scene, the man (who was identified in the context as receiving a haircut) is seen walking out onto the sidewalk, where he pulls a cigarette pack from his pocket, lights a cigarette, and stands there smoking it."
3034_IDES_OF_MARCH/segment_0006.mp4,123,B,"The context shows a small lamp with a yellow shade and a metallic tip sitting on the table between the man and the woman. In the target scene close-ups of the man, the blurred top of this lamp is visible at the bottom of the frame."
3034_IDES_OF_MARCH/segment_0012.mp4,124,C,"The target scene shows the blonde woman who was sitting behind the man on the bus lying in bed with him, first during an intimate moment and then sleeping while he works on a laptop."
3034_IDES_OF_MARCH/segment_0003.mp4,125,B,"Near the end of the video, the woman with wavy blonde hair from the opening is visible walking across the background of the office space while several other people are seated at tables."
3034_IDES_OF_MARCH/segment_0020.mp4,126,B,"In the target scene, the man in the white shirt is shown sitting in an armchair opposite the sofa with his arms folded across his chest as he listens to the conversation."
3034_IDES_OF_MARCH/segment_0019.mp4,127,B,"In the target scene, as the man and woman walk toward the waiting area, the computer monitor at the reception desk is visible and displays the logo and name ""Oakley Women's Clinic of Cincinnati."" This matches the sign shown on the building's exterior when they first arrived."
3034_IDES_OF_MARCH/segment_0024.mp4,128,B,"In the target scene, as the man walks into the room, several cardboard boxes with ""Pullman"" labels are stacked against the wall. These match the boxes seen in the background of the campaign office during the context portion of the video."
3034_IDES_OF_MARCH/segment_0002.mp4,129,A,"In the office, a large blue and yellow portrait poster of a man is visible on the wall, and the name ""MORRIS"" is printed in large, bold white letters across the bottom of the poster."
3034_IDES_OF_MARCH/segment_0028.mp4,130,B,"In the target scene, a close-up shows a mobile phone screen displaying ""Molly calling"" along with icons to answer or reject the call. The blue shirt sleeve visible on the hand holding the phone identifies it as belonging to the man seen speaking at the podium in the context."
3034_IDES_OF_MARCH/segment_0026.mp4,131,C,"The context establishes that the man is in a car while it is raining heavily outside, showing the windshield covered in water. In the target scene, these water droplets on the glass create the distinctive, fluid shadows that are projected onto his face as he reacts."
3034_IDES_OF_MARCH/segment_0027.mp4,132,C,"In the target scene, the two men are shown sitting on two separate, adjacent benches facing the river. From the perspective of the camera behind them, the man who arrived later is seated on the bench to the right of the man who was originally there."
3034_IDES_OF_MARCH/segment_0013.mp4,133,C,"In the target scene, the man is clearly shown holding a small mobile phone and looking at its screen while standing in the room, with the woman visible sitting on the bed in the background."
3034_IDES_OF_MARCH/segment_0022.mp4,134,C,"In the target scene, as the woman walks along the sidewalk and approaches the restaurant entrance, her brown boots are clearly visible. These match the footwear she was shown putting on while sitting in the clinic waiting room during the earlier part of the video."
3034_IDES_OF_MARCH/segment_0035.mp4,135,B,Several monitors in the background of the office clearly display news broadcasts and close-up footage of the man who was earlier shown addressing a crowd from a podium.
3034_IDES_OF_MARCH/segment_0001.mp4,136,A,"In the target scene at the restaurant, the older man with white hair and the younger man (both seen earlier behind the stage curtains) are shown sitting in a booth and talking with a woman wearing glasses."
3034_IDES_OF_MARCH/segment_0016.mp4,137,B,"In the target scene, the man is at a bank counter where the teller hands him a stack of paper currency, which he then picks up and takes with him. The context helps identify the man as the person who was previously in the campaign office interacting with the blonde woman."
3034_IDES_OF_MARCH/segment_0034.mp4,138,B,The man previously seen talking near the cars is shown standing among the large group of supporters who are waving flags and holding signs.
3034_IDES_OF_MARCH/segment_0007.mp4,139,B,"In the target scene, the woman is shown pulling on a patterned blazer and adjusting it over her black top while standing in the room."
3034_IDES_OF_MARCH/segment_0011.mp4,140,C,"In the target scene, the man in the light blue shirt opens a door at the end of a corridor, providing a view of the back of a man standing on a stage who is addressing a large audience. This scene matches the public speaking event and the man introduced in the context."
3034_IDES_OF_MARCH/segment_0038.mp4,141,A,"The context shows the man sitting in a large arena with rows of dark, empty seats behind him. In the target scene, these same rows remain visible in the background behind the man, appearing as rows of dark shapes with light reflecting off their edges."
3034_IDES_OF_MARCH/segment_0017.mp4,142,A,"In the dark building, the woman walks up a wooden staircase and stops when the man, who was shown making a phone call earlier, reveals himself standing at the top of the stairs in the shadows."
3034_IDES_OF_MARCH/segment_0005.mp4,143,B,"The man is visible standing in an open doorway holding a cell phone to his ear, and a subsequent close-up confirms he is speaking into the device."
3032_HOW_DO_YOU_KNOW/segment_0032.mp4,144,B,"In the target scene, the older man who was seen pacing during the context remains seated in a red armchair as the man in the brown jacket stands up to shout at him."
3032_HOW_DO_YOU_KNOW/segment_0004.mp4,145,B,"In the target scene, the older man takes the paper that was handed to the man in the restroom earlier and is shown reading it while holding his glasses to his face."
