file,raw_response,question,option_A,option_B,option_C,option_D,option_E,correct_answer,rationale
1051_Harry_Potter_and_the_goblet_of_fire/segment_0015.mp4,"Question:
After the two boys simultaneously touch a glowing blue cup and are transported to a graveyard, what major event follows?

A. They are greeted by a cheering crowd and a group of officials who award them a trophy.
B. One boy is killed by a green spell, and the other is trapped against a stone statue by a man carrying a bundle.
C. They are attacked by a large stone golem that rises from beneath a grave.
D. They find a hidden portal inside a mausoleum that takes them back to the maze.
E. They are met by a group of robed figures who offer them a choice between two different paths.

Correct Answer: B

Rationale:
At approximately 2:36, the boys touch the cup and are transported to a graveyard. Shortly after, at 3:20, a man appears and casts a green spell that kills the boy in the yellow shirt, while the boy in the red shirt is then pinned against a winged statue by the same man at 3:30.","After the two boys simultaneously touch a glowing blue cup and are transported to a graveyard, what major event follows?",They are greeted by a cheering crowd and a group of officials who award them a trophy.,"One boy is killed by a green spell, and the other is trapped against a stone statue by a man carrying a bundle.",They are attacked by a large stone golem that rises from beneath a grave.,They find a hidden portal inside a mausoleum that takes them back to the maze.,They are met by a group of robed figures who offer them a choice between two different paths.,B,"At approximately 2:36, the boys touch the cup and are transported to a graveyard. Shortly after, at 3:20, a man appears and casts a green spell that kills the boy in the yellow shirt, while the boy in the red shirt is then pinned against a winged statue by the same man at 3:30."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0018.mp4,"Question:
Following the capture and interrogation of a man early in the clip, what sequence of events marks the conclusion of the visiting schools' stay at the castle?

A. They are shown being escorted to a train station by the school’s professors.
B. They are shown exchanging goodbyes with the local students before their carriage and ship depart.
C. They are shown participating in a final awards ceremony in the Great Hall.
D. They are shown magically disappearing after a final speech from the headmaster.
E. They are shown being forced to leave the grounds immediately by armed guards.

Correct Answer: B

Rationale:
The latter half of the clip depicts students from the visiting groups saying goodbye to Hogwarts students through hugs, notes, and kisses in the courtyard, followed by shots of their horse-drawn carriage flying away and their ship sailing across the water.","Following the capture and interrogation of a man early in the clip, what sequence of events marks the conclusion of the visiting schools' stay at the castle?",They are shown being escorted to a train station by the school’s professors.,They are shown exchanging goodbyes with the local students before their carriage and ship depart.,They are shown participating in a final awards ceremony in the Great Hall.,They are shown magically disappearing after a final speech from the headmaster.,They are shown being forced to leave the grounds immediately by armed guards.,B,"The latter half of the clip depicts students from the visiting groups saying goodbye to Hogwarts students through hugs, notes, and kisses in the courtyard, followed by shots of their horse-drawn carriage flying away and their ship sailing across the water."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0010.mp4,"Question:
Following the ball's festivities, what sequence of events involving Hermione and Harry is depicted in the latter part of the clip?

A. Hermione continues dancing with Viktor Krum while Harry and Ron watch from their table, and then Harry is shown going to sleep in the common room.
B. Hermione and Ron have an argument in a hallway, Hermione is later shown crying on a staircase, and finally, Harry is seen waking up in bed.
C. Hermione leaves the ball early to go to the library, Harry and Ron follow her, and they are all shown waking up in their respective dormitories.
D. Ron apologizes to Hermione for his behavior, they return to the dance floor together, and the scene transitions to Harry looking out a snowy window.
E. Hermione and Viktor Krum have a disagreement, Ron tries to intervene, and the clip concludes with Harry and Ron talking in their bedroom.

Correct Answer: B

Rationale:
The clip clearly depicts a heated exchange between Ron and Hermione in a hallway near the end of the ball, followed by a shot of Hermione sitting alone on the stairs crying and taking off her shoes. The final sequence shows Harry waking up in his bed as a bird taps on the window.","Following the ball's festivities, what sequence of events involving Hermione and Harry is depicted in the latter part of the clip?","Hermione continues dancing with Viktor Krum while Harry and Ron watch from their table, and then Harry is shown going to sleep in the common room.","Hermione and Ron have an argument in a hallway, Hermione is later shown crying on a staircase, and finally, Harry is seen waking up in bed.","Hermione leaves the ball early to go to the library, Harry and Ron follow her, and they are all shown waking up in their respective dormitories.","Ron apologizes to Hermione for his behavior, they return to the dance floor together, and the scene transitions to Harry looking out a snowy window.","Hermione and Viktor Krum have a disagreement, Ron tries to intervene, and the clip concludes with Harry and Ron talking in their bedroom.",B,"The clip clearly depicts a heated exchange between Ron and Hermione in a hallway near the end of the ball, followed by a shot of Hermione sitting alone on the stairs crying and taking off her shoes. The final sequence shows Harry waking up in his bed as a bird taps on the window."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0009.mp4,"Question:
At the end of the clip, what notable event occurs as students gather for the formal ball?

A. Ron Weasley enters the Great Hall in his frilly dress robes and is immediately surrounded by laughing students.
B. Harry Potter and Cho Chang are shown walking into the hall together as the first couple of the evening.
C. Hermione Granger appears at the top of a staircase in a pink gown and walks down to meet Viktor Krum.
D. Viktor Krum performs a dramatic entrance by jumping into a lake before walking into the castle.
E. Professor Snape stands at the entrance of the hall and directs students to their assigned seats for dinner.

Correct Answer: C

Rationale: The final sequence of the clip shows Hermione standing at the top of the stairs in a pink dress, then walking down as other students look on, and finally being met by Viktor Krum at the bottom.","At the end of the clip, what notable event occurs as students gather for the formal ball?",Ron Weasley enters the Great Hall in his frilly dress robes and is immediately surrounded by laughing students.,Harry Potter and Cho Chang are shown walking into the hall together as the first couple of the evening.,Hermione Granger appears at the top of a staircase in a pink gown and walks down to meet Viktor Krum.,Viktor Krum performs a dramatic entrance by jumping into a lake before walking into the castle.,Professor Snape stands at the entrance of the hall and directs students to their assigned seats for dinner.,C,"The final sequence of the clip shows Hermione standing at the top of the stairs in a pink dress, then walking down as other students look on, and finally being met by Viktor Krum at the bottom."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0006.mp4,"Question:
In the courtyard scene, what action does the professor with a prosthetic eye take against the blonde student who tries to attack Harry?

A. He transforms the student into a white ferret using a spell.
B. He uses a defensive spell to disarm the student and take his wand.
C. He casts a spell that causes the student to float several feet above the ground.
D. He summons a magical creature to scare the student away from Harry.
E. He creates a wall of fire between the student and Harry.

Correct Answer: A

Rationale:
At approximately 02:40 in the clip, the professor with the prosthetic eye casts a spell on the blonde student, instantly turning him into a white ferret, which he then bounces up and down with his wand.","In the courtyard scene, what action does the professor with a prosthetic eye take against the blonde student who tries to attack Harry?",He transforms the student into a white ferret using a spell.,He uses a defensive spell to disarm the student and take his wand.,He casts a spell that causes the student to float several feet above the ground.,He summons a magical creature to scare the student away from Harry.,He creates a wall of fire between the student and Harry.,A,"At approximately 02:40 in the clip, the professor with the prosthetic eye casts a spell on the blonde student, instantly turning him into a white ferret, which he then bounces up and down with his wand."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0012.mp4,"Question:
What visible obstacle prevents the boy in glasses from immediately swimming to the surface after he frees the remaining two individuals?

A. A group of merfolk blocks his path with their spears.
B. A shark-headed swimmer returns to pull him back down.
C. He is swarmed and held back by numerous small, tentacled creatures.
D. The structure collapses, trapping his foot in the debris.
E. A sudden underwater current pushes him in the opposite direction.

Correct Answer: C

Rationale:
After the boy frees the two remaining individuals and attempts to swim toward the surface, a large swarm of small, multi-limbed creatures attacks him, clinging to his body and dragging him back down.",What visible obstacle prevents the boy in glasses from immediately swimming to the surface after he frees the remaining two individuals?,A group of merfolk blocks his path with their spears.,A shark-headed swimmer returns to pull him back down.,"He is swarmed and held back by numerous small, tentacled creatures.","The structure collapses, trapping his foot in the debris.",A sudden underwater current pushes him in the opposite direction.,C,"After the boy frees the two remaining individuals and attempts to swim toward the surface, a large swarm of small, multi-limbed creatures attacks him, clinging to his body and dragging him back down."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0014.mp4,"Question:
What happens to the blonde champion wearing a blue tracksuit while she is navigating the hedge maze?

A. She is struck by a spell from an invisible opponent.
B. She is grabbed by moving hedge branches and pulled into the wall of bushes.
C. She falls through a trapdoor that opens in the middle of the path.
D. She finds a map of the maze carved into a tree trunk.
E. She uses her wand to burn a hole through a hedge wall.

Correct Answer: B

Rationale:
At approximately 3:15, the blonde champion is shown being seized by the moving branches of the hedge maze and dragged into the greenery while she screams.",What happens to the blonde champion wearing a blue tracksuit while she is navigating the hedge maze?,She is struck by a spell from an invisible opponent.,She is grabbed by moving hedge branches and pulled into the wall of bushes.,She falls through a trapdoor that opens in the middle of the path.,She finds a map of the maze carved into a tree trunk.,She uses her wand to burn a hole through a hedge wall.,B,"At approximately 3:15, the blonde champion is shown being seized by the moving branches of the hedge maze and dragged into the greenery while she screams."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0002.mp4,"Question:
Following Dumbledore's announcement in the Great Hall, what distinct performances do the two visiting student groups use to introduce themselves?

A. One group enters on broomsticks while the other group marches in with a live brass band.
B. Both groups perform a synchronized swimming routine in a large water tank brought into the hall.
C. The first group performs a dance involving glowing butterflies, while the second group thumps staffs on the floor and performs fire-breathing.
D. Each group takes turns reciting a long formal poem about their respective school's history.
E. The students engage in a competitive dueling match to demonstrate their magical combat skills to the audience.

Correct Answer: C

Rationale:
The video shows a group of girls in blue capes dancing and releasing blue glowing butterflies (02:47), followed by a group of men in brown uniforms who rhythmically thump wooden staffs on the floor (03:12) and breathe fire toward the head table (03:42).","Following Dumbledore's announcement in the Great Hall, what distinct performances do the two visiting student groups use to introduce themselves?",One group enters on broomsticks while the other group marches in with a live brass band.,Both groups perform a synchronized swimming routine in a large water tank brought into the hall.,"The first group performs a dance involving glowing butterflies, while the second group thumps staffs on the floor and performs fire-breathing.",Each group takes turns reciting a long formal poem about their respective school's history.,The students engage in a competitive dueling match to demonstrate their magical combat skills to the audience.,C,"The video shows a group of girls in blue capes dancing and releasing blue glowing butterflies (02:47), followed by a group of men in brown uniforms who rhythmically thump wooden staffs on the floor (03:12) and breathe fire toward the head table (03:42)."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0013.mp4,"Question:
What occurs after Harry leans into the stone basin and is pulled into the glowing liquid inside Dumbledore's office?

A. He falls into a courtroom where he witnesses the trial of Igor Karkaroff and the subsequent capture of Barty Crouch Jr.
B. He is transported into the forest where he sees a vision of Barty Crouch Sr. being confronted by Mad-Eye Moody.
C. He is attacked and pinned down by a swarm of black crawling creatures that emerge from the liquid.
D. He witnesses a conversation between Dumbledore and a younger version of himself regarding the Triwizard Tournament.
E. He is returned to the lake and forced to relive his rescue of the two hostages from the seaweed.

Correct Answer: A

Rationale: The video shows Harry falling through the air and landing in a courtroom next to Dumbledore. He then watches as Igor Karkaroff is questioned in a cage and identifies Barty Crouch Jr. as a Death Eater, leading to Crouch Jr. being seized by several guards.",What occurs after Harry leans into the stone basin and is pulled into the glowing liquid inside Dumbledore's office?,He falls into a courtroom where he witnesses the trial of Igor Karkaroff and the subsequent capture of Barty Crouch Jr.,He is transported into the forest where he sees a vision of Barty Crouch Sr. being confronted by Mad-Eye Moody.,He is attacked and pinned down by a swarm of black crawling creatures that emerge from the liquid.,He witnesses a conversation between Dumbledore and a younger version of himself regarding the Triwizard Tournament.,He is returned to the lake and forced to relive his rescue of the two hostages from the seaweed.,A,"The video shows Harry falling through the air and landing in a courtroom next to Dumbledore. He then watches as Igor Karkaroff is questioned in a cage and identifies Barty Crouch Jr. as a Death Eater, leading to Crouch Jr. being seized by several guards."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0008.mp4,"Question:
During the aerial chase around the castle, what causes the dragon to fall away from Harry?

A. Harry uses his wand to cast a stunning spell on the dragon.
B. The dragon collides with the stone structure of a bridge.
C. The dragon's wings get caught in the bridge's metal chains.
D. Harry's broomstick flies so fast that the dragon tires out.
E. The dragon slips while trying to land on a steep tower roof.

Correct Answer: B

Rationale:
At approximately 1:26, the dragon is shown crashing into the stone pillars and arches of a bridge while pursuing Harry, causing it to lose its momentum and fall into the valley below.","During the aerial chase around the castle, what causes the dragon to fall away from Harry?",Harry uses his wand to cast a stunning spell on the dragon.,The dragon collides with the stone structure of a bridge.,The dragon's wings get caught in the bridge's metal chains.,Harry's broomstick flies so fast that the dragon tires out.,The dragon slips while trying to land on a steep tower roof.,B,"At approximately 1:26, the dragon is shown crashing into the stone pillars and arches of a bridge while pursuing Harry, causing it to lose its momentum and fall into the valley below."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0001.mp4,"Question:
Following the sporting event at the stadium, what is the final significant visual event shown occurring over the campsite?

A. A brilliant fireworks display celebrating the winning team illuminates the stadium.
B. A group of rescuers uses magic to extinguish the fires and rebuild the destroyed tents.
C. A mysterious figure casts a spell that produces a glowing green skull and snake in the night sky.
D. The spectators return to the stadium for a post-match closing ceremony featuring music.
E. A fleet of flying ships arrives to transport the fans away from the burning campsite.

Correct Answer: C

Rationale:
After the campsite is attacked and set on fire, the clip shows a man walking through the wreckage and pointing a wand at the sky to produce a large, glowing green symbol of a skull with a snake coming out of its mouth. Harry is then seen waking up on the ground and looking up at this symbol.","Following the sporting event at the stadium, what is the final significant visual event shown occurring over the campsite?",A brilliant fireworks display celebrating the winning team illuminates the stadium.,A group of rescuers uses magic to extinguish the fires and rebuild the destroyed tents.,A mysterious figure casts a spell that produces a glowing green skull and snake in the night sky.,The spectators return to the stadium for a post-match closing ceremony featuring music.,A fleet of flying ships arrives to transport the fans away from the burning campsite.,C,"After the campsite is attacked and set on fire, the clip shows a man walking through the wreckage and pointing a wand at the sky to produce a large, glowing green symbol of a skull with a snake coming out of its mouth. Harry is then seen waking up on the ground and looking up at this symbol."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0016.mp4,"Question:
What sequence of events follows the emergence of the pale, robed figure from the large cauldron?

A. He immediately flees the graveyard in a trail of black smoke, followed by the masked figures and the young man.
B. He interacts with a group of arriving masked figures, touches a trapped young man's forehead, and then engages in a magical duel with him.
C. He uses a wand to destroy the statue holding the young man and then leads the masked figures in a celebratory dance.
D. He falls back into the cauldron, which then explodes and transforms the graveyard into a lush forest.
E. He provides the young man with a wand and they both fight against the masked figures who have surrounded them.

Correct Answer: B

Rationale:
After the figure emerges and robes himself, he is joined by masked figures who arrive as trails of black smoke. He is then shown touching the forehead of the young man pinned to the statue before the two engage in a magical duel where their wand spells connect.","What sequence of events follows the emergence of the pale, robed figure from the large cauldron?","He immediately flees the graveyard in a trail of black smoke, followed by the masked figures and the young man.","He interacts with a group of arriving masked figures, touches a trapped young man's forehead, and then engages in a magical duel with him.",He uses a wand to destroy the statue holding the young man and then leads the masked figures in a celebratory dance.,"He falls back into the cauldron, which then explodes and transforms the graveyard into a lush forest.",He provides the young man with a wand and they both fight against the masked figures who have surrounded them.,B,"After the figure emerges and robes himself, he is joined by masked figures who arrive as trails of black smoke. He is then shown touching the forehead of the young man pinned to the statue before the two engage in a magical duel where their wand spells connect."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0007.mp4,"Question:
In the clip, what is the sequence of events regarding Harry’s participation in the tournament task?

A. He selects a miniature dragon from a bag in a tent, enters a rocky arena to retrieve a golden egg, and is then chased by a large dragon.
B. He receives a golden egg from an official, uses it to lure a dragon into a cage, and then flies away on a broomstick.
C. He draws a miniature dragon from a bag, uses a spell to make it grow, and then battles it in a rocky arena to win a golden egg.
D. He finds a broomstick inside a tent, flies it into a rocky arena to rescue a dragon, and then retrieves a golden egg from a nest.
E. He selects a golden egg from a bag, places it in a rocky arena, and then defends it from a large dragon using a broomstick.

Correct Answer: A

Rationale:
The video shows Harry drawing a small dragon from a bag while inside a tent with other participants, then attempting to grab a golden egg in a rocky arena, and finally being chased across the landscape and around a castle by a large dragon after calling for his broomstick.","In the clip, what is the sequence of events regarding Harry’s participation in the tournament task?","He selects a miniature dragon from a bag in a tent, enters a rocky arena to retrieve a golden egg, and is then chased by a large dragon.","He receives a golden egg from an official, uses it to lure a dragon into a cage, and then flies away on a broomstick.","He draws a miniature dragon from a bag, uses a spell to make it grow, and then battles it in a rocky arena to win a golden egg.","He finds a broomstick inside a tent, flies it into a rocky arena to rescue a dragon, and then retrieves a golden egg from a nest.","He selects a golden egg from a bag, places it in a rocky arena, and then defends it from a large dragon using a broomstick.",A,"The video shows Harry drawing a small dragon from a bag while inside a tent with other participants, then attempting to grab a golden egg in a rocky arena, and finally being chased across the landscape and around a castle by a large dragon after calling for his broomstick."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0011.mp4,"Question:
After the boy in glasses consumes a small green object and dives into the water, what visible physical changes occur to his body?

A. He grows a long tail and scales appear on his torso.
B. His skin turns completely blue and he grows significantly in size.
C. He develops gills on his neck and webbing on his hands and feet.
D. A transparent bubble forms around his head to allow him to breathe.
E. He grows feathers on his arms and his nose turns into a beak.

Correct Answer: C

Rationale:
Between 3:20 and 3:32, the clip clearly shows gills opening on the boy's neck followed by the appearance of webbed skin on his hands and feet while he is submerged.","After the boy in glasses consumes a small green object and dives into the water, what visible physical changes occur to his body?",He grows a long tail and scales appear on his torso.,His skin turns completely blue and he grows significantly in size.,He develops gills on his neck and webbing on his hands and feet.,A transparent bubble forms around his head to allow him to breathe.,He grows feathers on his arms and his nose turns into a beak.,C,"Between 3:20 and 3:32, the clip clearly shows gills opening on the boy's neck followed by the appearance of webbed skin on his hands and feet while he is submerged."
