file,raw_response,question,option_A,option_B,option_C,option_D,option_E
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0013.mp4,"Question:
What does the woman, who was being tended to while lying unconscious, look at after she sits up?

A. A lit candle
B. A wooden window
C. A drawing of a person
D. A bowl of fruit
E. A metal bowl

Correct Answer: C

Rationale:
After the woman wakes up and sits up in the bed, she turns her head and looks directly at a piece of paper pinned to the wall that features a hand-drawn portrait of a person.","What does the woman, who was being tended to while lying unconscious, look at after she sits up?",A lit candle,A wooden window,A drawing of a person,A bowl of fruit,A metal bowl
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0008.mp4,"Question:
What is the woman whose reflection was seen in the mirror at the market stall carrying as she walks toward the man resting on the stone steps?

A. A bundle of folded clothes
B. A metal bucket
C. A basket and a large orange gourd
D. A wooden tray with food
E. A stack of leather-bound books

Correct Answer: C

Rationale:
In the target scene, the woman previously identified by her reflection in the mirror is shown walking through the market carrying a wicker basket and a large orange gourd (pumpkin). She is still holding these objects when she approaches the man after he collapses onto the stone steps.",What is the woman whose reflection was seen in the mirror at the market stall carrying as she walks toward the man resting on the stone steps?,A bundle of folded clothes,A metal bucket,A basket and a large orange gourd,A wooden tray with food,A stack of leather-bound books
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0001.mp4,"Question:
Whose hands are visible pressing against the glass of the furnace door while it is engulfed in flames?

A. The boy who was previously eating a piece of blue candy.
B. The girl who used a tool to free herself from her shackles.
C. The woman who was pushed inside the furnace by the children.
D. A character shown walking through the woods in the map.
E. The girl shown on the ""Child Lost"" flyer.

Correct Answer: C

Rationale: The context shows two children overpowering a white-haired woman and successfully shoving her into a large furnace before closing the door. In the target scene, her hands are seen beating against the glass from the inside as the fire intensifies.",Whose hands are visible pressing against the glass of the furnace door while it is engulfed in flames?,The boy who was previously eating a piece of blue candy.,The girl who used a tool to free herself from her shackles.,The woman who was pushed inside the furnace by the children.,A character shown walking through the woods in the map.,"The girl shown on the ""Child Lost"" flyer."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0016.mp4,"Question:
After the encounter in the woods, what is the large creature carrying on its shoulder as it walks away?

A. A large wooden club
B. A man wearing a black uniform
C. A red-haired woman
D. A dark-haired woman with blood on her face
E. A leather sack

Correct Answer: D

Rationale: In the latter part of the video, a close-up shot shows the dark-haired woman with blood on her face draped over the large creature's shoulder as it moves through the forest.","After the encounter in the woods, what is the large creature carrying on its shoulder as it walks away?",A large wooden club,A man wearing a black uniform,A red-haired woman,A dark-haired woman with blood on her face,A leather sack
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0007.mp4,"Question:
What is the female character, who was first shown as a child trapped behind a wall of gnarled roots, doing when she is seen in the village?

A. Walking through the empty street
B. Sitting at a table with a bowl
C. Sleeping in a bed
D. Watching from a balcony
E. Adjusting a horse's harness

Correct Answer: C

Rationale:
The woman is shown lying in a bed with a striped blanket, her eyes are closed and her head is resting on a pillow as she appears to be sleeping.","What is the female character, who was first shown as a child trapped behind a wall of gnarled roots, doing when she is seen in the village?",Walking through the empty street,Sitting at a table with a bowl,Sleeping in a bed,Watching from a balcony,Adjusting a horse's harness
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0011.mp4,"Question:
What weapon does the woman, who was previously seen inside a house during the village attack, aim while on the balcony?

A. A flintlock rifle
B. A double-barreled crossbow
C. A large wooden club
D. A circular metal shield
E. A long-handled axe

Correct Answer: B

Rationale:
The woman from the earlier house scene is shown on a balcony in the target scene, where she aims a crossbow with two distinct sets of bow limbs at both 01:10 and 01:22.","What weapon does the woman, who was previously seen inside a house during the village attack, aim while on the balcony?",A flintlock rifle,A double-barreled crossbow,A large wooden club,A circular metal shield,A long-handled axe
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0005.mp4,"Question:
When the woman in black appears behind the group at the campfire, where is the black dog that was previously seen in the village?

A. It is tied to a tree behind the campfire.
B. It is sitting on the log next to the man with the red beard.
C. It is lying on the ground near the fire.
D. It is running away into the forest.
E. It is jumping toward the woman in black.

Correct Answer: C

Rationale:
In the target scene, specifically around 1:14 to 1:18, the black dog from the earlier village context is seen lying on the ground on the right side of the campfire while the men turn around to look at the woman.","When the woman in black appears behind the group at the campfire, where is the black dog that was previously seen in the village?",It is tied to a tree behind the campfire.,It is sitting on the log next to the man with the red beard.,It is lying on the ground near the fire.,It is running away into the forest.,It is jumping toward the woman in black.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0004.mp4,"Question:
What happens to the young man with glasses who was previously seen running through the campsite during the attack?

A. He manages to find safety inside a large tent.
B. He is knocked down and stepped on by the fleeing crowd.
C. He confronts the hooded figures with a wand.
D. He helps a woman who has fallen to the ground.
E. He climbs a metal structure to escape the stampede.

Correct Answer: B

Rationale:
The target scene shows the young man being pushed from behind, falling face-first onto the ground, and then being stepped on by several people in the panicked crowd before he is shown lying still.",What happens to the young man with glasses who was previously seen running through the campsite during the attack?,He manages to find safety inside a large tent.,He is knocked down and stepped on by the fleeing crowd.,He confronts the hooded figures with a wand.,He helps a woman who has fallen to the ground.,He climbs a metal structure to escape the stampede.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0021.mp4,"Question:
After the person slides down the sloped roof and grabs the ledge, where is the long wooden object they were using to fly?

A. It is falling away from the building.
B. It is lying on the roof tiles above the person.
C. It is held in the person's teeth.
D. It is being crushed by the creature's claws.
E. It is floating in the air behind the person.

Correct Answer: B

Rationale:
In the target scene, after the person catches themselves on the edge of the building, the camera shows the wooden broomstick resting stationary on the dark grey tiles of the sloped roof.","After the person slides down the sloped roof and grabs the ledge, where is the long wooden object they were using to fly?",It is falling away from the building.,It is lying on the roof tiles above the person.,It is held in the person's teeth.,It is being crushed by the creature's claws.,It is floating in the air behind the person.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0030.mp4,"Question:
The boy seen earlier on a bridge wearing a red and gold scarf is later shown in a large bath. What object does he open while sitting in the water?

A. A silver casket
B. A golden egg
C. A wooden trunk
D. A glass sphere
E. A metal lantern

Correct Answer: B

Rationale:
The boy who was wearing the red and gold scarf on the bridge is shown in a bath, where he reaches for a large golden egg and opens it.",The boy seen earlier on a bridge wearing a red and gold scarf is later shown in a large bath. What object does he open while sitting in the water?,A silver casket,A golden egg,A wooden trunk,A glass sphere,A metal lantern
1051_Harry_Potter_and_the_goblet_of_fire/segment_0000.mp4,"Question:
In the graveyard outside the house where a light is seen, what landmark from the previous sequence is visible?

A. A hooded, winged statue holding a scythe
B. A set of stone stairs leading to a mansion
C. A row of metal bars containing skulls
D. A large snake crawling through the grass
E. A headstone with a name clearly engraved on it

Correct Answer: A

Rationale:
As the camera pans toward the house in the distance, the hooded, winged statue holding a scythe, which was shown prominently earlier in the graveyard, is visible on the right side of the frame.","In the graveyard outside the house where a light is seen, what landmark from the previous sequence is visible?","A hooded, winged statue holding a scythe",A set of stone stairs leading to a mansion,A row of metal bars containing skulls,A large snake crawling through the grass,A headstone with a name clearly engraved on it
1051_Harry_Potter_and_the_goblet_of_fire/segment_0029.mp4,"Question:
What is the boy who was seen wearing a white bow tie and glasses at the formal event doing in the later part of the scene?

A. Dancing in a large hall
B. Ringing a large bell in a tower
C. Crying on a set of stone stairs
D. Sleeping in a bed
E. Walking through a snowy courtyard

Correct Answer: D

Rationale:
In the target scene, the boy is shown lying in a bed with his eyes closed, breathing heavily as if asleep or having a nightmare. The context identifies him as the character who was previously seen at the formal event wearing a white bow tie and glasses.",What is the boy who was seen wearing a white bow tie and glasses at the formal event doing in the later part of the scene?,Dancing in a large hall,Ringing a large bell in a tower,Crying on a set of stone stairs,Sleeping in a bed,Walking through a snowy courtyard
1051_Harry_Potter_and_the_goblet_of_fire/segment_0018.mp4,"Question:
What is the man who transformed a student into a ferret seen adjusting while sitting in the room?

A. A mechanical prosthetic leg
B. A large circular mirror
C. A wooden staff
D. A metal drinking flask
E. A heavy wooden chest

Correct Answer: A

Rationale:
The man is shown sitting and using both hands to pull and secure a mechanical metal leg onto his stump.",What is the man who transformed a student into a ferret seen adjusting while sitting in the room?,A mechanical prosthetic leg,A large circular mirror,A wooden staff,A metal drinking flask,A heavy wooden chest
1051_Harry_Potter_and_the_goblet_of_fire/segment_0010.mp4,"Question:
After the demonstration with the insect in the classroom is over, what are the boy with glasses and the red-haired boy seen doing?

A. They are staying behind to help the man with the mechanical eye.
B. They are walking down a large, spiral stone staircase together.
C. They are looking at the dead insect on the magnifying glass.
D. They are entering a different room through a wooden door.
E. They are putting their books and wands into their bags.

Correct Answer: B

Rationale:
In the target scene, after the classes end, the boy with glasses and the red-haired boy are shown walking and talking to each other while descending a large, circular stone staircase along with other students.","After the demonstration with the insect in the classroom is over, what are the boy with glasses and the red-haired boy seen doing?",They are staying behind to help the man with the mechanical eye.,"They are walking down a large, spiral stone staircase together.",They are looking at the dead insect on the magnifying glass.,They are entering a different room through a wooden door.,They are putting their books and wands into their bags.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0009.mp4,"Question:
At the end of the scene, what is the final location of the creature that was previously removed from a jar and enlarged?

A. It is returned to the jar it was taken from.
B. It is placed inside a glass sphere on a desk.
C. It is left on the head of the blonde student.
D. It is put into the man's leather coat pocket.
E. It is placed inside a small metal cage.

Correct Answer: B

Rationale:
The target scene concludes with the man using his wand to direct the creature into a glass sphere on a desk, where it is shown magnified. This is a different container than the jar shown at the beginning of the classroom sequence.","At the end of the scene, what is the final location of the creature that was previously removed from a jar and enlarged?",It is returned to the jar it was taken from.,It is placed inside a glass sphere on a desk.,It is left on the head of the blonde student.,It is put into the man's leather coat pocket.,It is placed inside a small metal cage.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0031.mp4,"Question:
During the scene in the library, what is the location of the golden egg that was previously shown being used in the water?

A. It is being carried by the student walking in the background.
B. It is held by the man with the prosthetic eye.
C. It is sitting on the table next to the boy.
D. It is placed on a bookshelf behind the girl in pink.
E. It is hidden inside the large book the boy is reading.

Correct Answer: C

Rationale:
In the target scene, specifically around 01:06 and 01:08, the golden egg is clearly visible resting on the wooden table to the left of the boy while he is researching in the library.","During the scene in the library, what is the location of the golden egg that was previously shown being used in the water?",It is being carried by the student walking in the background.,It is held by the man with the prosthetic eye.,It is sitting on the table next to the boy.,It is placed on a bookshelf behind the girl in pink.,It is hidden inside the large book the boy is reading.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0006.mp4,"Question:
What is prominently displayed on the large sail of the ship as it sails across the water towards the castle?

A. A green serpent
B. A red bird-like emblem
C. A golden crown
D. A black anchor
E. A silver moon

Correct Answer: B

Rationale:
In the target scene, after the ship has fully risen from the water, a large white sail is unfurled, revealing a prominent red bird-like emblem in the center.",What is prominently displayed on the large sail of the ship as it sails across the water towards the castle?,A green serpent,A red bird-like emblem,A golden crown,A black anchor,A silver moon
1051_Harry_Potter_and_the_goblet_of_fire/segment_0003.mp4,"Question:
What is the group of people previously seen walking through the campsite doing on the high metal walkway as the players arrive?

A. Cheering and shouting with excitement
B. Watching the scene in silence with binoculars
C. Eating food from small containers
D. Drawing in notebooks
E. Sleeping in their seats

Correct Answer: A

Rationale:
In the target scene, the group of characters from the campsite is shown leaning over the railing of a high metal platform, yelling and waving their arms enthusiastically as players fly into the stadium on broomsticks.",What is the group of people previously seen walking through the campsite doing on the high metal walkway as the players arrive?,Cheering and shouting with excitement,Watching the scene in silence with binoculars,Eating food from small containers,Drawing in notebooks,Sleeping in their seats
1051_Harry_Potter_and_the_goblet_of_fire/segment_0044.mp4,"Question:
What does the tall, pale figure do with the thin, white object he received from the other man?

A. He points it at the young man with glasses hiding behind a statue.
B. He presses the tip of it into a tattoo on the other man's forearm.
C. He waves it to make the other man disappear into a cloud of smoke.
D. He hands it back to the other man and bows.
E. He uses it to create a glowing blue orb in the air.

Correct Answer: B

Rationale:
In the target scene, the tall, pale figure is shown grabbing the other man's arm and pressing the tip of the thin, white wand firmly into a dark tattoo of a skull and snake.","What does the tall, pale figure do with the thin, white object he received from the other man?",He points it at the young man with glasses hiding behind a statue.,He presses the tip of it into a tattoo on the other man's forearm.,He waves it to make the other man disappear into a cloud of smoke.,He hands it back to the other man and bows.,He uses it to create a glowing blue orb in the air.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0037.mp4,"Question:
After the commotion where a man is captured in the large hall, where is the boy observer located in the final moments?

A. Sitting in the audience of the large hall.
B. Trapped inside the central metal cage.
C. Lying on the floor next to a stone basin.
D. Standing next to the official in the black hat.
E. Running through a corridor filled with bookshelves.

Correct Answer: C

Rationale:
In the final moments of the video, the boy is shown splashing out of the stone basin and landing on the floor of the dark room, which was established as his original location in the context.","After the commotion where a man is captured in the large hall, where is the boy observer located in the final moments?",Sitting in the audience of the large hall.,Trapped inside the central metal cage.,Lying on the floor next to a stone basin.,Standing next to the official in the black hat.,Running through a corridor filled with bookshelves.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0014.mp4,"Question:
What name is written on the scrap of paper that becomes visible inside the stone basin being examined by the man with the long white beard?

A. Albus Dumbledore
B. Harry Potter
C. Cedric Diggory
D. Viktor Krum
E. Ron Weasley

Correct Answer: B

Rationale:
In the target scene, after the man with the long white beard adds a silvery substance to the stone basin, the camera zooms in to show a piece of paper with the name ""Harry Potter"" clearly written on it.",What name is written on the scrap of paper that becomes visible inside the stone basin being examined by the man with the long white beard?,Albus Dumbledore,Harry Potter,Cedric Diggory,Viktor Krum,Ron Weasley
1051_Harry_Potter_and_the_goblet_of_fire/segment_0002.mp4,"Question:
After landing on the grass, what action does the person who first joined the group by jumping down from a tree perform?

A. He starts to pitch a tent in the field.
B. He reaches out a hand to help another person stand up.
C. He immediately runs toward the large gathering of tents.
D. He searches the grass for the old boot.
E. He checks his backpack for missing items.

Correct Answer: B

Rationale:
In the target scene, the young man who was seen jumping from a tree earlier reaches down to grab the hand of a boy sitting on the grass and pulls him to his feet.","After landing on the grass, what action does the person who first joined the group by jumping down from a tree perform?",He starts to pitch a tent in the field.,He reaches out a hand to help another person stand up.,He immediately runs toward the large gathering of tents.,He searches the grass for the old boot.,He checks his backpack for missing items.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0026.mp4,"Question:
In the large hall where people are gathered in formal wear, what does the attire of the person who was previously shown looking in a mirror look like?

A. A sleek black tuxedo with a white bowtie.
B. A bright red robe with a thick fur lining.
C. A brown outfit featuring prominent white lace ruffles at the chest and cuffs.
D. A long-sleeved gold dress with an intricate pattern.
E. A dark blue suit with silver embroidery.

Correct Answer: C

Rationale:
The person who was shown examining themselves in a mirror is later seen in the hall wearing a brown robe with large, frilly white lace ruffles visible at the neck and sleeves.","In the large hall where people are gathered in formal wear, what does the attire of the person who was previously shown looking in a mirror look like?",A sleek black tuxedo with a white bowtie.,A bright red robe with a thick fur lining.,A brown outfit featuring prominent white lace ruffles at the chest and cuffs.,A long-sleeved gold dress with an intricate pattern.,A dark blue suit with silver embroidery.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0023.mp4,"Question:
What object, which was previously seen causing a group of people to cover their ears when opened, is sitting on the table?

A. A leather-bound book
B. A silver goblet
C. A golden egg
D. A wooden chest
E. A glass bottle

Correct Answer: C

Rationale:
In the target scene, a golden egg is visible resting on the long wooden table. The context shows this same golden egg being opened in a crowded room, which produced a loud sound that caused everyone to cover their ears.","What object, which was previously seen causing a group of people to cover their ears when opened, is sitting on the table?",A leather-bound book,A silver goblet,A golden egg,A wooden chest,A glass bottle
1051_Harry_Potter_and_the_goblet_of_fire/segment_0042.mp4,"Question:
Where is the glowing blue trophy located after the two individuals arrive in the graveyard?

A. It is being held by the individual in the red and black shirt.
B. It is lying on the grass.
C. It is resting on top of a stone monument.
D. It is held by the individual in the yellow and black shirt.
E. It is stuck in the branches of a tree.

Correct Answer: B

Rationale:
In the target scene, the glowing blue trophy is seen lying on the grass in the graveyard as the individual in the yellow and black shirt stands over it to look at it.",Where is the glowing blue trophy located after the two individuals arrive in the graveyard?,It is being held by the individual in the red and black shirt.,It is lying on the grass.,It is resting on top of a stone monument.,It is held by the individual in the yellow and black shirt.,It is stuck in the branches of a tree.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0027.mp4,"Question:
What action is the girl in the pink dress performing with the man in the red uniform?

A. Sitting at a table near a large ice sculpture
B. Standing in a line against the wall with other students
C. Dancing together in the center of the hall
D. Walking up the stairs away from the crowd
E. Clapping while watching the boy with glasses

Correct Answer: C

Rationale:
The girl in the pink dress and the man in the red uniform are seen spinning and dancing together among several other couples in the middle of the hall.",What action is the girl in the pink dress performing with the man in the red uniform?,Sitting at a table near a large ice sculpture,Standing in a line against the wall with other students,Dancing together in the center of the hall,Walking up the stairs away from the crowd,Clapping while watching the boy with glasses
1051_Harry_Potter_and_the_goblet_of_fire/segment_0022.mp4,"Question:
After the chase near the castle seen earlier, what is the person in the red and black outfit doing when they finally enter the arena area?

A. Running through the wooden gates
B. Flying on a broomstick
C. Being carried by the large winged creature
D. Climbing over the spectator stands
E. Walking slowly from a dark tunnel

Correct Answer: B

Rationale:
In the final part of the clip, the individual in the red and black outfit is seen flying into the circular arena while mounted on a broomstick, greeted by the cheering crowd.","After the chase near the castle seen earlier, what is the person in the red and black outfit doing when they finally enter the arena area?",Running through the wooden gates,Flying on a broomstick,Being carried by the large winged creature,Climbing over the spectator stands,Walking slowly from a dark tunnel
1051_Harry_Potter_and_the_goblet_of_fire/segment_0035.mp4,"Question:
What does the girl in the light blue robe do to the boy in the red vest once he is on the platform?

A. She wraps a white towel around him.
B. She pushes him toward the crowd.
C. She kisses him on the cheeks.
D. She takes a wand from his hand.
E. She helps him stand up from the floor.

Correct Answer: C

Rationale:
The girl in the light blue robe, who was seen waiting on the structure earlier, approaches the boy wearing the red vest and kisses him on both cheeks.",What does the girl in the light blue robe do to the boy in the red vest once he is on the platform?,She wraps a white towel around him.,She pushes him toward the crowd.,She kisses him on the cheeks.,She takes a wand from his hand.,She helps him stand up from the floor.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0001.mp4,"Question:
Immediately after the scene shifts from the events at the dark house, what action does the boy in bed take as he wakes up?

A. He reaches for a glass of water on the nightstand.
B. He puts his hand to his forehead while gasping.
C. He sits up and looks for a flashlight.
D. He gets out of bed and walks toward a whistling kettle.
E. He hides under the covers to escape a snake.

Correct Answer: B

Rationale:
In the target scene, the boy is shown lying in bed, breathing heavily and holding his hand against his forehead as he wakes up from the distressing events shown in the previous scene.","Immediately after the scene shifts from the events at the dark house, what action does the boy in bed take as he wakes up?",He reaches for a glass of water on the nightstand.,He puts his hand to his forehead while gasping.,He sits up and looks for a flashlight.,He gets out of bed and walks toward a whistling kettle.,He hides under the covers to escape a snake.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0034.mp4,"Question:
What happens to the swimmer who was seen with a shark's head underwater once he brings the rescued girl to the surface?

A. He swims back down to rescue someone else.
B. He climbs onto the platform immediately.
C. He loses the shark features and appears as a human.
D. He is attacked by the merpeople on the surface.
E. He uses a wand to pull himself out of the water.

Correct Answer: C

Rationale:
Upon surfacing with the girl, the swimmer's shark head vanishes, revealing his human face as he gasps for air.",What happens to the swimmer who was seen with a shark's head underwater once he brings the rescued girl to the surface?,He swims back down to rescue someone else.,He climbs onto the platform immediately.,He loses the shark features and appears as a human.,He is attacked by the merpeople on the surface.,He uses a wand to pull himself out of the water.
