file,raw_response,question,option_A,option_B,option_C,option_D,option_E
1051_Harry_Potter_and_the_goblet_of_fire/segment_0000.mp4,"Question:
After observing a light from his kitchen window, what does the man do when he reaches the large building on the hill?

A. He hides behind a large stone statue in the graveyard.
B. He walks into the building through the front door.
C. He uses a key to unlock a side entrance.
D. He shines his flashlight through a ground-floor window.
E. He returns to his kitchen to check on the stove.

Correct Answer: B

Rationale:
In the target scene, the man is shown walking up the stone steps of the large house and pushing the front door open to enter. The context earlier in the clip establishes that he noticed a light in this specific building while he was in his kitchen.","After observing a light from his kitchen window, what does the man do when he reaches the large building on the hill?",He hides behind a large stone statue in the graveyard.,He walks into the building through the front door.,He uses a key to unlock a side entrance.,He shines his flashlight through a ground-floor window.,He returns to his kitchen to check on the stove.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0015.mp4,"Question:
What is the large, winged creature that was previously seen in the arena doing as it flies through the mountain valley?

A. It is diving into the water at the base of a waterfall.
B. It is chasing the person on the broomstick towards the towers of a large stone castle.
C. It is carrying a golden egg back to its nest in the mountains.
D. It is landing on a bridge to wait for the person on the broomstick.
E. It is flying away from the person on the broomstick to return to the arena.

Correct Answer: B

Rationale:
The target scene shows the large, winged creature closely pursuing the individual on the broomstick through a mountain valley, past a waterfall, and towards the high towers of a large stone castle. Under the pursuit, the person on the broomstick flies between the castle walls to evade the creature.","What is the large, winged creature that was previously seen in the arena doing as it flies through the mountain valley?",It is diving into the water at the base of a waterfall.,It is chasing the person on the broomstick towards the towers of a large stone castle.,It is carrying a golden egg back to its nest in the mountains.,It is landing on a bridge to wait for the person on the broomstick.,It is flying away from the person on the broomstick to return to the arena.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0036.mp4,"Question:
When the man with the long white beard visits the boy with glasses in his room, what is the boy wearing?

A. A long black robe with a hood
B. A white shirt with a striped tie
C. The same red and black shirt he was wearing earlier by the large metal trunk
D. A green and silver sweater
E. A plain grey t-shirt

Correct Answer: C

Rationale:
In the target scene, the boy is shown sitting in his room wearing a red and black shirt. This is the same shirt he is seen wearing in the context while observing the investigation of the man found inside the large trunk.","When the man with the long white beard visits the boy with glasses in his room, what is the boy wearing?",A long black robe with a hood,A white shirt with a striped tie,The same red and black shirt he was wearing earlier by the large metal trunk,A green and silver sweater,A plain grey t-shirt
1051_Harry_Potter_and_the_goblet_of_fire/segment_0018.mp4,"Question:
What action is the boy with long hair mimicking with his arms while looking at a girl at another table?

A. Stirring a cauldron
B. Casting a spell
C. Ballroom dancing
D. Writing on parchment
E. Playing a harp

Correct Answer: C

Rationale:
In the target scene, the boy holds his arms out in a specific frame and sways his body, imitating the formal ballroom dancing positions that were shown being practiced by students earlier in the video.",What action is the boy with long hair mimicking with his arms while looking at a girl at another table?,Stirring a cauldron,Casting a spell,Ballroom dancing,Writing on parchment,Playing a harp
1051_Harry_Potter_and_the_goblet_of_fire/segment_0031.mp4,"Question:
Following the arrival at the destination via the glowing blue artifact, what happens to the person who was wearing a yellow and black shirt?

A. He is magically bound to a winged stone statue.
B. He falls to the ground and remains still after being hit by a green flash.
C. He retrieves the artifact and is transported away from the area.
D. He is lifted into the air and dropped into a large, dark pot.
E. He uses a wooden stick to create a protective shield around himself.

Correct Answer: B

Rationale:
In the target scene, the individual in the yellow and black shirt is struck by a green beam of light and is subsequently shown lying motionless on the grass.","Following the arrival at the destination via the glowing blue artifact, what happens to the person who was wearing a yellow and black shirt?",He is magically bound to a winged stone statue.,He falls to the ground and remains still after being hit by a green flash.,He retrieves the artifact and is transported away from the area.,"He is lifted into the air and dropped into a large, dark pot.",He uses a wooden stick to create a protective shield around himself.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0006.mp4,"Question:
What is the man who was previously seen wearing a fur hat and being greeted by the man with the long grey beard doing when he reappears?

A. He is writing a name on a blackboard inside a classroom.
B. He is sitting at a long dining table and drinking from a small glass.
C. He is standing alone on a rainy cliff overlooking a castle.
D. He is peering through a doorway at a goblet containing blue flames.
E. He is using a wand to transform a golden tower into a goblet.

Correct Answer: D

Rationale:
In the target scene, the man with long dark hair and a beard, who was welcomed earlier in the video, is shown cautiously opening large wooden doors to look at the glowing blue flames of the goblet inside a dark room.",What is the man who was previously seen wearing a fur hat and being greeted by the man with the long grey beard doing when he reappears?,He is writing a name on a blackboard inside a classroom.,He is sitting at a long dining table and drinking from a small glass.,He is standing alone on a rainy cliff overlooking a castle.,He is peering through a doorway at a goblet containing blue flames.,He is using a wand to transform a golden tower into a goblet.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0012.mp4,"Question:
After the interaction with the girl in the long coat in the woods, which individual is the boy seen with in the forest at night?

A. The same girl and the two other peers who were previously with her
B. A boy who was earlier seen standing in the middle of a lake
C. A large, bearded man carrying a lantern and a flower
D. A man whose face was seen in the embers of a fireplace
E. A person in striped clothing walking down a stone staircase

Correct Answer: C

Rationale:
In the target scene, the boy is walking through a dark forest at night accompanied by a large, bearded man who holds a lantern and a large red flower. This scene follows the context where a girl spoke to the boy in the woods earlier in the day, leading to this new meeting.","After the interaction with the girl in the long coat in the woods, which individual is the boy seen with in the forest at night?",The same girl and the two other peers who were previously with her,A boy who was earlier seen standing in the middle of a lake,"A large, bearded man carrying a lantern and a flower",A man whose face was seen in the embers of a fireplace,A person in striped clothing walking down a stone staircase
1051_Harry_Potter_and_the_goblet_of_fire/segment_0003.mp4,"Question:
In the campsite where people were previously shown running between rows of tents, what is the state of the area when a man is later seen walking through it?

A. It is brightly lit and filled with celebrating people.
B. All of the tents have been neatly folded and stacked.
C. It is filled with debris and many of the tents are destroyed or collapsed.
D. The ground is covered in thick green grass with no structures visible.
E. It has been transformed into a large outdoor market.

Correct Answer: C

Rationale:
In the shots showing the man walking through the campsite, the ground is covered in broken wooden frames and many tents are seen lying flat or torn, with smoke rising from the wreckage.","In the campsite where people were previously shown running between rows of tents, what is the state of the area when a man is later seen walking through it?",It is brightly lit and filled with celebrating people.,All of the tents have been neatly folded and stacked.,It is filled with debris and many of the tents are destroyed or collapsed.,The ground is covered in thick green grass with no structures visible.,It has been transformed into a large outdoor market.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0037.mp4,"Question:
What is seen sailing on the water while other objects fly in the sky in the distance?

A. A wooden raft
B. A large ship with masts
C. A motorboat
D. A submarine
E. A ferry

Correct Answer: B

Rationale:
In the wide landscape shot of the lake, a large ship with multiple masts is clearly visible sailing away on the surface of the water, while several carriages are seen flying in the air above it.",What is seen sailing on the water while other objects fly in the sky in the distance?,A wooden raft,A large ship with masts,A motorboat,A submarine,A ferry
1051_Harry_Potter_and_the_goblet_of_fire/segment_0020.mp4,"Question:
In the ballroom scene, what is the girl wearing the ruffled pink dress doing?

A. Sitting and watching the dancers
B. Standing near a large ice sculpture
C. Dancing and spinning with a partner
D. Walking up the stone staircase
E. Drinking from a small glass

Correct Answer: C

Rationale:
The girl identified by her ruffled pink dress in the context is shown in the target scene dancing in the ballroom and being spun around by her partner among the other guests.","In the ballroom scene, what is the girl wearing the ruffled pink dress doing?",Sitting and watching the dancers,Standing near a large ice sculpture,Dancing and spinning with a partner,Walking up the stone staircase,Drinking from a small glass
1051_Harry_Potter_and_the_goblet_of_fire/segment_0019.mp4,"Question:
What is the person who was previously shown putting on brown robes with white ruffles doing in the target scene?

A. He is sitting on a red sofa holding a golden object.
B. He is standing alone on a balcony overlooking a dance floor.
C. He is walking with a girl dressed in a pink and orange outfit.
D. He is talking to a teacher wearing a large black pointed hat.
E. He is running up a set of snow-covered stone stairs.

Correct Answer: C

Rationale:
In the target scene, the individual wearing the distinctive ruffled brown robes is seen walking through a decorated hall accompanied by a girl in a pink and orange traditional-style garment.",What is the person who was previously shown putting on brown robes with white ruffles doing in the target scene?,He is sitting on a red sofa holding a golden object.,He is standing alone on a balcony overlooking a dance floor.,He is walking with a girl dressed in a pink and orange outfit.,He is talking to a teacher wearing a large black pointed hat.,He is running up a set of snow-covered stone stairs.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0014.mp4,"Question:
After the cannon is fired and the champion in the yellow and black top leaves the tent, which person is shown sitting alone on a bed inside?

A. The girl with the long blonde hair
B. The boy with the very short hair
C. The boy with the glasses
D. The man with the long white beard
E. The woman with the glasses

Correct Answer: C

Rationale:
Following the departure of the first champion in the yellow and black top, the camera focuses on the boy with glasses, who is shown sitting by himself on the edge of a bed in the empty tent before he stands up to leave.","After the cannon is fired and the champion in the yellow and black top leaves the tent, which person is shown sitting alone on a bed inside?",The girl with the long blonde hair,The boy with the very short hair,The boy with the glasses,The man with the long white beard,The woman with the glasses
1051_Harry_Potter_and_the_goblet_of_fire/segment_0002.mp4,"Question:
Following the appearance of the green firework figure, what is the primary color of the uniforms worn by the next group of players to enter the stadium?

A. Blue
B. Red
C. Yellow
D. Silver
E. White

Correct Answer: B

Rationale:
In the target scene, a group of players is shown flying into the stadium on broomsticks wearing bright red robes and uniforms. This follows the green firework display shown in the preceding context.","Following the appearance of the green firework figure, what is the primary color of the uniforms worn by the next group of players to enter the stadium?",Blue,Red,Yellow,Silver,White
1051_Harry_Potter_and_the_goblet_of_fire/segment_0026.mp4,"Question:
What object, seen earlier being worn by the man who walked with the boy away from the lake, is later found lying abandoned on the forest floor?

A. A wooden staff
B. A silver flask
C. A black hat
D. A grey blanket
E. A leather boot

Correct Answer: C

Rationale:
In the target scene, a black hat is shown lying on the ground among leaves and twigs. This hat is the same one worn by the man who was talking to the boy earlier in the forest and who was first seen wearing it while walking away from the lake in the context.","What object, seen earlier being worn by the man who walked with the boy away from the lake, is later found lying abandoned on the forest floor?",A wooden staff,A silver flask,A black hat,A grey blanket,A leather boot
1051_Harry_Potter_and_the_goblet_of_fire/segment_0023.mp4,"Question:
After diving into the water, what physical changes are visible on the boy who was previously seen receiving a small green object?

A. He grows a fish-like tail and scales.
B. He develops gills on his neck and webbing between his fingers.
C. He sprouts wings and feathers.
D. He turns completely green and translucent.
E. He grows extra sets of arms and legs.

Correct Answer: B

Rationale:
In the underwater sequence of the target scene, the boy is shown with visible slits (gills) on the sides of his neck and translucent skin (webbing) stretching between his fingers as he examines his hands.","After diving into the water, what physical changes are visible on the boy who was previously seen receiving a small green object?",He grows a fish-like tail and scales.,He develops gills on his neck and webbing between his fingers.,He sprouts wings and feathers.,He turns completely green and translucent.,He grows extra sets of arms and legs.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0013.mp4,"Question:
In the room filled with various lenses and mechanical devices, what does the man who previously transformed a student into a ferret remove from his body?

A. A spinning glass eye
B. A heavy leather coat
C. A mechanical leg
D. A wooden staff
E. A silver flask

Correct Answer: C

Rationale:
In the target scene, the man sits down on a bench and is shown pulling a metallic, mechanical prosthetic off of his lower left leg. The context identifies this man as the person who used a wand to turn a student into a small white ferret earlier in the video.","In the room filled with various lenses and mechanical devices, what does the man who previously transformed a student into a ferret remove from his body?",A spinning glass eye,A heavy leather coat,A mechanical leg,A wooden staff,A silver flask
1051_Harry_Potter_and_the_goblet_of_fire/segment_0022.mp4,"Question:
What object is sitting on the ledge of the pool next to the boy who was seen earlier walking on a bridge with a girl?

A. A white owl
B. A golden egg
C. A silver trophy
D. A black hat
E. A wooden wand

Correct Answer: B

Rationale:
In the target scene, the boy from the bridge is shown sitting in a large pool of water, and a large, carved golden egg is clearly visible resting on the marble ledge beside him.",What object is sitting on the ledge of the pool next to the boy who was seen earlier walking on a bridge with a girl?,A white owl,A golden egg,A silver trophy,A black hat,A wooden wand
1051_Harry_Potter_and_the_goblet_of_fire/segment_0008.mp4,"Question:
What is the physical appearance of the two individuals wrestling on the floor, who were previously seen as red-haired boys?

A. They have become invisible.
B. They have grown long white hair and beards.
C. They have turned into small children.
D. They are wearing animal masks.
E. They have changed into different colored robes.

Correct Answer: B

Rationale:
In the target scene, the two characters on the floor are shown with long white hair and beards (01:30–01:33), which is the physical consequence of the aging potion mishap shown during the context portion of the clip.","What is the physical appearance of the two individuals wrestling on the floor, who were previously seen as red-haired boys?",They have become invisible.,They have grown long white hair and beards.,They have turned into small children.,They are wearing animal masks.,They have changed into different colored robes.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0035.mp4,"Question:
After the people in robes arrive, what happens to the large ornate chest that was previously seen sitting in the room?

A. It slides across the floor to hit the wall.
B. It transforms into a pile of wooden planks.
C. It opens layer after layer to reveal a deep sequence of nested compartments.
D. It catches fire and burns to ashes.
E. It is used to trap the man with the eye patch.

Correct Answer: C

Rationale:
Near the end of the video, the chest is shown automatically opening its lid multiple times, with each layer revealing a new, smaller compartment that goes deeper and deeper.","After the people in robes arrive, what happens to the large ornate chest that was previously seen sitting in the room?",It slides across the floor to hit the wall.,It transforms into a pile of wooden planks.,It opens layer after layer to reveal a deep sequence of nested compartments.,It catches fire and burns to ashes.,It is used to trap the man with the eye patch.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0001.mp4,"Question:
Following the group's contact with the old boot, how do the man with the walking stick and his two companions descend to the grassy field?

A. They fall abruptly and land on their backs.
B. They walk down through the air as if on solid ground.
C. They slide down the cliff shown in the distance.
D. They are lowered down by a rope from the sky.
E. They land in the water visible behind the hills.

Correct Answer: B

Rationale:
The target scene shows the man with the walking stick and two other men performing a walking motion while suspended in the air during their descent, while the rest of the group is shown having already fallen onto the grass.","Following the group's contact with the old boot, how do the man with the walking stick and his two companions descend to the grassy field?",They fall abruptly and land on their backs.,They walk down through the air as if on solid ground.,They slide down the cliff shown in the distance.,They are lowered down by a rope from the sky.,They land in the water visible behind the hills.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0016.mp4,"Question:
What happens to the stone bridge that was previously shown during the chase?

A. It is set on fire by the winged creature.
B. It remains completely intact as they fly past.
C. A large middle section of it is knocked out in a collision.
D. It is used as a landing platform for the person on the broomstick.
E. It vanishes after a spell is cast on it.

Correct Answer: C

Rationale:
In the target scene, the dragon crashes into the bridge's support structure, and a subsequent aerial shot shows that a large part of the bridge is missing where the collision occurred.",What happens to the stone bridge that was previously shown during the chase?,It is set on fire by the winged creature.,It remains completely intact as they fly past.,A large middle section of it is knocked out in a collision.,It is used as a landing platform for the person on the broomstick.,It vanishes after a spell is cast on it.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0034.mp4,"Question:
After landing on the grass, what is the person in the red shirt doing to the person in the yellow and black shirt as people begin to approach?

A. He is standing over him and pointing a wand at the crowd.
B. He is clutching him tightly while lying on the ground.
C. He is searching for a silver cup that fell on the grass.
D. He is waving to the people in the stands.
E. He is helping him to his feet.

Correct Answer: B

Rationale:
In the target scene, the person in the red shirt is shown lying on the grass and holding the motionless person in the yellow and black shirt closely. He remains clinging to him even as the man with the long white beard attempts to pull him away.","After landing on the grass, what is the person in the red shirt doing to the person in the yellow and black shirt as people begin to approach?",He is standing over him and pointing a wand at the crowd.,He is clutching him tightly while lying on the ground.,He is searching for a silver cup that fell on the grass.,He is waving to the people in the stands.,He is helping him to his feet.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0017.mp4,"Question:
What accessory is the boy sitting next to the student called to the front of the room wearing on his left arm?

A. A black leather glove
B. A white medical sling
C. A wide golden cuff
D. A silver wristwatch
E. A thick wool sleeve

Correct Answer: B

Rationale:
In the target scene, as the student stands up to participate in the dance lesson, the boy sitting next to him is clearly shown with his left arm supported by a white medical sling. This sling was also visible earlier while he was eating in the large hall.",What accessory is the boy sitting next to the student called to the front of the room wearing on his left arm?,A black leather glove,A white medical sling,A wide golden cuff,A silver wristwatch,A thick wool sleeve
1051_Harry_Potter_and_the_goblet_of_fire/segment_0005.mp4,"Question:
What visual effect occurs when the students from the second visiting group strike their wooden poles against the floor as they march?

A. They release small blue butterflies.
B. Bright orange sparks fly from the floor.
C. The floor begins to glow with a green light.
D. A thick white mist is released from the poles.
E. The poles transform into flowering branches.

Correct Answer: B

Rationale:
In the target scene, the students in dark uniforms are shown striking their wooden poles (staffs) against the stone floor, which causes bright orange sparks to be produced at the point of contact.",What visual effect occurs when the students from the second visiting group strike their wooden poles against the floor as they march?,They release small blue butterflies.,Bright orange sparks fly from the floor.,The floor begins to glow with a green light.,A thick white mist is released from the poles.,The poles transform into flowering branches.
3015_CHARLIE_ST_CLOUD/segment_0010.mp4,"Question:
What is depicted in the red sketch on the yellow paper found by the man who was previously at the cemetery?

A. A house
B. A sailboat
C. A bird
D. A face
E. A mountain

Correct Answer: B

Rationale:
When the man approaches the wooden building and removes the yellow note from the door, a red drawing of a sailboat is clearly visible on one side of the paper.",What is depicted in the red sketch on the yellow paper found by the man who was previously at the cemetery?,A house,A sailboat,A bird,A face,A mountain
3015_CHARLIE_ST_CLOUD/segment_0009.mp4,"Question:
What object does the man carry to light his way as he searches outside for the woman he was just with?

A. A heavy-duty flashlight
B. A glass jar with a lit candle inside
C. A flaming torch made of wood
D. A glowing electric lantern
E. A smartphone with the flashlight turned on

Correct Answer: B

Rationale:
After the woman leaves the room, the man is shown picking up a glass jar containing a lit candle from a table and carrying it with him as he searches for her in the dark outdoor area.",What object does the man carry to light his way as he searches outside for the woman he was just with?,A heavy-duty flashlight,A glass jar with a lit candle inside,A flaming torch made of wood,A glowing electric lantern,A smartphone with the flashlight turned on
3015_CHARLIE_ST_CLOUD/segment_0012.mp4,"Question:
After being reported missing at sea, where is the woman seen when the man encounters her again?

A. Standing on a coastal pier
B. Sitting on the ground in a cemetery
C. Walking through a forest
D. Navigating a boat in a storm
E. Looking out of a house window

Correct Answer: B

Rationale:
In the target scene, the man walks through a field filled with various tombstones and stone crosses, eventually kneeling near the woman who is sitting on the grass beside a grave.","After being reported missing at sea, where is the woman seen when the man encounters her again?",Standing on a coastal pier,Sitting on the ground in a cemetery,Walking through a forest,Navigating a boat in a storm,Looking out of a house window
