file,raw_response,question,option_A,option_B,option_C,option_D,option_E
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0044.mp4,"Question:
What happens to the woman who was previously seen moving as a fast blur when she is finally thrown back?

A. She is caught by the large, grey-skinned creature.
B. She slams into a stone wall, causing it to shatter and crumble.
C. She vanishes into a cloud of black smoke.
D. She falls into a deep pit in the center of the room.
E. She is pinned to a wooden post by a metal bolt.

Correct Answer: B

Rationale:
In the target scene, the woman is seen crashing into a stone wall with enough force to make the rocks break apart and fall away. The context helps identify her as the same person who was moving too fast to be clearly seen in the preceding moments.",What happens to the woman who was previously seen moving as a fast blur when she is finally thrown back?,"She is caught by the large, grey-skinned creature.","She slams into a stone wall, causing it to shatter and crumble.",She vanishes into a cloud of black smoke.,She falls into a deep pit in the center of the room.,She is pinned to a wooden post by a metal bolt.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0020.mp4,"Question:
After being seen standing in the town crowd, what is the young man doing to the woman lying in bed?

A. Feeding her a piece of fruit.
B. Wiping her neck and chest with a damp cloth.
C. Pouring a bowl of water over her head.
D. Wrapping a bandage around her throat.
E. Adjusting the pillow under her head.

Correct Answer: B

Rationale:
The young man is shown dipping a piece of fabric into a bowl of water and then gently dabbing the woman's neck and the area just above her bodice.","After being seen standing in the town crowd, what is the young man doing to the woman lying in bed?",Feeding her a piece of fruit.,Wiping her neck and chest with a damp cloth.,Pouring a bowl of water over her head.,Wrapping a bandage around her throat.,Adjusting the pillow under her head.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0043.mp4,"Question:
What is the young man, who was previously seen being sick in a dark room, holding as he walks through the desert?

A. A staff with a red stone
B. A metal weapon
C. A piece of parchment
D. A glass bottle
E. A leather bag

Correct Answer: C

Rationale:
In the target scene, the young man is shown walking across the dry, open landscape while holding and looking at a piece of yellowed parchment.","What is the young man, who was previously seen being sick in a dark room, holding as he walks through the desert?",A staff with a red stone,A metal weapon,A piece of parchment,A glass bottle,A leather bag
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0041.mp4,"Question:
After the woman briefly appears with normal human skin and dark eyes, what change occurs to her face when she begins to scream?

A. It transforms into a metallic mask.
B. It returns to the pale, cracked appearance with bright blue eyes seen earlier.
C. It is suddenly covered in thick black fur.
D. It becomes completely invisible, leaving only her clothes.
E. It turns into a skeletal face with glowing red eyes.

Correct Answer: B

Rationale:
In the final seconds of the video, the woman's face shifts from a human appearance back to the monstrous form seen at the beginning of the clip, which is characterized by pale, cracked skin and vivid blue eyes. This transformation occurs as she stops pleading and resumes her attack.","After the woman briefly appears with normal human skin and dark eyes, what change occurs to her face when she begins to scream?",It transforms into a metallic mask.,"It returns to the pale, cracked appearance with bright blue eyes seen earlier.",It is suddenly covered in thick black fur.,"It becomes completely invisible, leaving only her clothes.",It turns into a skeletal face with glowing red eyes.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0002.mp4,"Question:
After the woman is pushed into the large fiery oven, what action do the children take to trap her inside?

A. They turn a large circular valve on the wall to lock the entrance.
B. They pull down on hanging metal chains to lower a heavy door.
C. They slide a thick wooden beam across the front of the opening.
D. They use a large iron key to lock a latch on the door.
E. They push a heavy stone slab in front of the fireplace.

Correct Answer: B

Rationale:
In the target scene, both children are clearly shown grabbing and pulling down on vertical metal chains. This action causes a heavy metal door to slide down from above, sealing the woman inside the burning oven.","After the woman is pushed into the large fiery oven, what action do the children take to trap her inside?",They turn a large circular valve on the wall to lock the entrance.,They pull down on hanging metal chains to lower a heavy door.,They slide a thick wooden beam across the front of the opening.,They use a large iron key to lock a latch on the door.,They push a heavy stone slab in front of the fireplace.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0025.mp4,"Question:
From what perspective is the large creature seen as it travels through the forest with the woman it captured?

A. From the top of a tall pine tree
B. From the interior of a dark cave or rock overhang
C. From the perspective of the man who was left on the ground
D. From behind a screen of tall ferns and bushes
E. From the opposite bank of a wide river

Correct Answer: B

Rationale:
In the target scene, the creature and the woman are shown from a distance walking along a sunlit path, viewed through the dark, rocky opening of a cave.",From what perspective is the large creature seen as it travels through the forest with the woman it captured?,From the top of a tall pine tree,From the interior of a dark cave or rock overhang,From the perspective of the man who was left on the ground,From behind a screen of tall ferns and bushes,From the opposite bank of a wide river
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0028.mp4,"Question:
In the area below the cabin floor, what do the man and the woman do while sitting in the debris?

A. They continue their struggle.
B. They embrace each other.
C. They search for a lost item.
D. They try to repair the broken floor.
E. They move to opposite sides of the room.

Correct Answer: B

Rationale:
In the target scene, the man and woman are shown sitting together among the broken wood from the fall and are seen holding each other in a hug.","In the area below the cabin floor, what do the man and the woman do while sitting in the debris?",They continue their struggle.,They embrace each other.,They search for a lost item.,They try to repair the broken floor.,They move to opposite sides of the room.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0026.mp4,"Question:
What is the woman doing with the large, textured plant-like object the creature previously filled with water?

A. She is using it as a pillow.
B. She is holding it to her lips and drinking.
C. She is using it to wipe blood from her forehead.
D. She is dropping it into the running water.
E. She is sitting on it while talking to the creature.

Correct Answer: B

Rationale:
At the start of the target scene, the woman is clearly visible holding the large mushroom-like object to her mouth and drinking the water from it.","What is the woman doing with the large, textured plant-like object the creature previously filled with water?",She is using it as a pillow.,She is holding it to her lips and drinking.,She is using it to wipe blood from her forehead.,She is dropping it into the running water.,She is sitting on it while talking to the creature.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0039.mp4,"Question:
After pointing a bundle of sticks at the figure in black, where does the woman with long red hair land?

A. In a pile of leaves near the birch trees
B. Inside the entrance of the structure the group was approaching
C. On top of the man in the leather jacket
D. Behind a thick tree trunk for cover
E. In the middle of the dirt path leading away from the structure

Correct Answer: B

Rationale:
Following a blast of smoke and debris, the woman is seen flying through the air and landing on the floor inside the opening of the structure the group was walking toward earlier.","After pointing a bundle of sticks at the figure in black, where does the woman with long red hair land?",In a pile of leaves near the birch trees,Inside the entrance of the structure the group was approaching,On top of the man in the leather jacket,Behind a thick tree trunk for cover,In the middle of the dirt path leading away from the structure
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0013.mp4,"Question:
Once the man finishes using the handheld medical device, what object does he pick up and hand to the woman?

A. A bundle of firewood
B. A leather pouch
C. A woven basket
D. A metal gauntlet
E. A ceramic pot

Correct Answer: C

Rationale:
In the target scene, after the man finishes his injection and puts the device away, he reaches down to pick up a wicker basket from the stone step and hands it to the woman standing next to him.","Once the man finishes using the handheld medical device, what object does he pick up and hand to the woman?",A bundle of firewood,A leather pouch,A woven basket,A metal gauntlet,A ceramic pot
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0022.mp4,"Question:
What is the large creature doing at the start of the target scene before it stops to look around?

A. It is digging a hole in the forest floor.
B. It is feeding on the carcass of a boar.
C. It is sharpening a wooden spear.
D. It is sleeping against a fallen log.
E. It is washing itself in a stream.

Correct Answer: B

Rationale:
The context shows the creature biting into the neck of a boar just before the target scene starts. At the beginning of the target scene, the creature is seen hunched over the carcass with blood on its mouth and chin before it raises its head.",What is the large creature doing at the start of the target scene before it stops to look around?,It is digging a hole in the forest floor.,It is feeding on the carcass of a boar.,It is sharpening a wooden spear.,It is sleeping against a fallen log.,It is washing itself in a stream.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0040.mp4,"Question:
Inside the wooden structure, who is the opponent that the man and the woman in the green dress are seen fighting?

A. The blonde woman who was previously shown being helped by the man.
B. The pale, dark-haired creature who was seen earlier attacking the blonde woman.
C. A man in a black hat who is trying to defend the interior.
D. A different pale creature that was not shown at the beginning of the video.
E. A large animal that is guarding the entrance.

Correct Answer: B

Rationale:
The target scene depicts the man and the woman in the green dress in a physical struggle with the same pale, black-haired figure that was established in the context as the one who attacked the blonde woman. The creature’s distinct appearance, including her cracked skin and long black hair, is visible during the combat inside the structure.","Inside the wooden structure, who is the opponent that the man and the woman in the green dress are seen fighting?",The blonde woman who was previously shown being helped by the man.,"The pale, dark-haired creature who was seen earlier attacking the blonde woman.",A man in a black hat who is trying to defend the interior.,A different pale creature that was not shown at the beginning of the video.,A large animal that is guarding the entrance.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0001.mp4,"Question:
After the children enter the colorful structure, what is the boy seen doing in a close-up shot while being held?

A. He is drinking a liquid from a small wooden cup.
B. He is biting into a piece of blue food while crying.
C. He is attempting to hide a metal key in his palm.
D. He is trying to pull a heavy chain off his wrist.
E. He is whispering a message to the girl beside him.

Correct Answer: B

Rationale:
In the target scene, the boy is shown in a close-up shot being held by a pair of hands; he is visibly sobbing and takes a bite out of a small, rectangular, bright blue piece of food.","After the children enter the colorful structure, what is the boy seen doing in a close-up shot while being held?",He is drinking a liquid from a small wooden cup.,He is biting into a piece of blue food while crying.,He is attempting to hide a metal key in his palm.,He is trying to pull a heavy chain off his wrist.,He is whispering a message to the girl beside him.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0016.mp4,"Question:
In the scene where the man and woman are reviewing the documents on the table, what is the man wearing on his hands?

A. Plain brown cloth gloves
B. Dark leather gloves with metal-reinforced knuckles
C. Thick fur-lined winter mittens
D. Fingerless gray wool gloves
E. He is not wearing anything on his hands

Correct Answer: B

Rationale:
In the shots where the man is handling the papers on the table, his hands are clearly visible wearing dark leather gloves that feature prominent metal plates or studs positioned over the knuckles. These are the same reinforced gloves shown being used as a weapon in the preceding scene.","In the scene where the man and woman are reviewing the documents on the table, what is the man wearing on his hands?",Plain brown cloth gloves,Dark leather gloves with metal-reinforced knuckles,Thick fur-lined winter mittens,Fingerless gray wool gloves,He is not wearing anything on his hands
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0034.mp4,"Question:
In the target scene, as a woman with light-colored hair fires a large mechanical weapon, what happens to the tree trunk where a captive was seen being secured in the context?

A. It catches fire and begins to burn.
B. It is struck by a projectile and splinters.
C. It is completely destroyed by an explosion.
D. It is used as cover by the pale woman with the staff.
E. It is knocked over by a large creature.

Correct Answer: B

Rationale:
In the target scene, a projectile from the large multi-barreled weapon is shown striking the bark of the tree, causing visible wood splinters to fly into the air while a woman is seen cowering against the trunk.","In the target scene, as a woman with light-colored hair fires a large mechanical weapon, what happens to the tree trunk where a captive was seen being secured in the context?",It catches fire and begins to burn.,It is struck by a projectile and splinters.,It is completely destroyed by an explosion.,It is used as cover by the pale woman with the staff.,It is knocked over by a large creature.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0011.mp4,"Question:
What is protruding from the skin of the woman who drank from the bowl?

A. Black feathers
B. Sharp spikes
C. Green scales
D. Tree roots
E. Glass shards

Correct Answer: B

Rationale:
A close-up of the woman's face near the end of the cave sequence shows numerous small, sharp spikes sticking out from her cheeks, forehead, and neck.",What is protruding from the skin of the woman who drank from the bowl?,Black feathers,Sharp spikes,Green scales,Tree roots,Glass shards
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0038.mp4,"Question:
What is the large creature seen in the forest doing when the group of three people stops to look at it?

A. It is running through the trees away from the group.
B. It is lying flat on its back on the forest floor.
C. It is sitting in a clearing surrounded by thin, bare trees.
D. It is actively fighting the woman who was with it earlier.
E. It is climbing up the side of a large mossy rock.

Correct Answer: C

Rationale:
After the group of three people walks through the woods and stops, the camera reveals the large, grey-skinned creature sitting upright in a clearing filled with thin, leafless trees.",What is the large creature seen in the forest doing when the group of three people stops to look at it?,It is running through the trees away from the group.,It is lying flat on its back on the forest floor.,"It is sitting in a clearing surrounded by thin, bare trees.",It is actively fighting the woman who was with it earlier.,It is climbing up the side of a large mossy rock.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0005.mp4,"Question:
What does the woman, who was seen entering the wooden structure with a mechanical crossbow, do with the weapon when the creature attacks her?

A. She uses it as a blunt weapon to strike the creature's head.
B. She fires multiple projectiles from it in rapid succession.
C. She drops it on the floor to fight with her bare hands.
D. She uses it to hook onto a ceiling beam and lift herself up.
E. She uses the weapon to jam the door shut.

Correct Answer: B

Rationale:
As the creature leaps across the room, the woman is shown aiming her multi-limbed crossbow and firing several bolts in very quick succession at the target.","What does the woman, who was seen entering the wooden structure with a mechanical crossbow, do with the weapon when the creature attacks her?",She uses it as a blunt weapon to strike the creature's head.,She fires multiple projectiles from it in rapid succession.,She drops it on the floor to fight with her bare hands.,She uses it to hook onto a ceiling beam and lift herself up.,She uses the weapon to jam the door shut.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0004.mp4,"Question:
After walking through the crowded area shown earlier, the group enters a small tent. What is visible inside this tent?

A. A single small cot and a lamp.
B. A vast, multi-level living space with furniture and a stove.
C. A dark, empty space with a dirt floor.
D. A series of small tunnels leading underground.
E. A workshop filled with tools and wood.

Correct Answer: B

Rationale:
Upon entering the small tent, the scene reveals a spacious, fully-furnished interior with armchairs, rugs, a dining area, and a wood-burning stove. The space also includes stairs leading to additional upper levels, making it significantly larger than its exterior would suggest.","After walking through the crowded area shown earlier, the group enters a small tent. What is visible inside this tent?",A single small cot and a lamp.,"A vast, multi-level living space with furniture and a stove.","A dark, empty space with a dirt floor.",A series of small tunnels leading underground.,A workshop filled with tools and wood.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0030.mp4,"Question:
Where is the individual who was seen earlier taking a flash photograph located when the cannon is fired?

A. Standing near the entrance of the tent
B. Standing next to the man holding the purple bag
C. On a wooden platform elevated near the top of a tent pole
D. Crouching behind a bed in the corner
E. Standing directly behind the person in the red and black hoodie

Correct Answer: C

Rationale:
In the context, a photographer wearing a brown cap and carrying a large red camera is shown taking a flash photograph while standing on the floor of the tent. In the target scene, when the cannon fires, he is visible positioned on a high wooden platform built around one of the tent's main support poles.",Where is the individual who was seen earlier taking a flash photograph located when the cannon is fired?,Standing near the entrance of the tent,Standing next to the man holding the purple bag,On a wooden platform elevated near the top of a tent pole,Crouching behind a bed in the corner,Standing directly behind the person in the red and black hoodie
1051_Harry_Potter_and_the_goblet_of_fire/segment_0000.mp4,"Question:
After climbing the stone steps and traveling through the grass, what monument does the snake eventually reach?

A. A set of iron bars filled with skulls.
B. A stone statue of a winged, hooded skeleton.
C. A tall marble cross in the center of a path.
D. A brick chimney of a nearby house.
E. A rusted metal gate leading to a forest.

Correct Answer: B

Rationale:
The target scene shows the snake slithering through a graveyard and arriving at the base of a large monument featuring a hooded skeletal figure with wings.","After climbing the stone steps and traveling through the grass, what monument does the snake eventually reach?",A set of iron bars filled with skulls.,"A stone statue of a winged, hooded skeleton.",A tall marble cross in the center of a path.,A brick chimney of a nearby house.,A rusted metal gate leading to a forest.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0015.mp4,"Question:
When the man points his wand at the multi-legged creature resting on a glass surface, how does the creature react?

A. It curls into a ball.
B. It remains completely still.
C. It twitches and shakes violently.
D. It jumps toward the boy standing nearby.
E. It turns into a puff of smoke.

Correct Answer: C

Rationale: In the final moments of the video, the creature on the glass dish is shown shaking and twitching uncontrollably as the man directs his wand toward it.","When the man points his wand at the multi-legged creature resting on a glass surface, how does the creature react?",It curls into a ball.,It remains completely still.,It twitches and shakes violently.,It jumps toward the boy standing nearby.,It turns into a puff of smoke.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0029.mp4,"Question:
The boy with glasses who was shown watching the man remove his prosthetic leg is seen at the end of the video inside a tent. What name is printed on the back of the jersey he is wearing?

A. KRUM
B. HOGWARTS
C. GRYFFINDOR
D. POTTER
E. WIZARD

Correct Answer: D

Rationale: In the final shot of the video inside a tent, the boy identified earlier as the one with glasses is seen from behind wearing a jersey with the name ""POTTER"" printed across the shoulders in large yellow letters.",The boy with glasses who was shown watching the man remove his prosthetic leg is seen at the end of the video inside a tent. What name is printed on the back of the jersey he is wearing?,KRUM,HOGWARTS,GRYFFINDOR,POTTER,WIZARD
1051_Harry_Potter_and_the_goblet_of_fire/segment_0036.mp4,"Question:
In the large hall with long tables, what is the boy who was previously seen opening a gold egg doing?

A. Writing a letter with a quill
B. Reading a newspaper and drinking from a cup
C. Eating a bowl of cereal
D. Practicing magic with his wand
E. Feeding the owl that flew into the room

Correct Answer: B

Rationale:
In the target scene, the boy with glasses is shown sitting at a long table, holding a golden cup to his mouth and looking at a newspaper titled ""The Daily Prophet.""","In the large hall with long tables, what is the boy who was previously seen opening a gold egg doing?",Writing a letter with a quill,Reading a newspaper and drinking from a cup,Eating a bowl of cereal,Practicing magic with his wand,Feeding the owl that flew into the room
1051_Harry_Potter_and_the_goblet_of_fire/segment_0018.mp4,"Question:
What are the two individuals with long white hair and beards doing on the ground when the man in the dark brown uniform enters the hall?

A. They are sleeping soundly.
B. They are reading a book together.
C. They are wrestling and grappling with each other.
D. They are searching for an object on the floor.
E. They are kneeling in prayer toward the stone cup.

Correct Answer: C

Rationale:
After the man in the dark brown uniform enters the hall and walks toward the center, two individuals with long white hair and beards can be seen in the background rolling and fighting on the floor.",What are the two individuals with long white hair and beards doing on the ground when the man in the dark brown uniform enters the hall?,They are sleeping soundly.,They are reading a book together.,They are wrestling and grappling with each other.,They are searching for an object on the floor.,They are kneeling in prayer toward the stone cup.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0010.mp4,"Question:
What kind of vessel surfaces from the lake in the area where a moving banner on a pole was previously seen?

A. A small wooden raft
B. A large sailing ship with multiple masts
C. A stone structure resembling a tower
D. A carriage pulled by winged creatures
E. A modern metal submarine

Correct Answer: B

Rationale:
A large wooden ship with several masts and sails emerges from beneath the surface of the lake.",What kind of vessel surfaces from the lake in the area where a moving banner on a pole was previously seen?,A small wooden raft,A large sailing ship with multiple masts,A stone structure resembling a tower,A carriage pulled by winged creatures,A modern metal submarine
1051_Harry_Potter_and_the_goblet_of_fire/segment_0047.mp4,"Question:
In the pool area that was seen being filled by many different faucets, what object is resting on the marble ledge?

A. A silver shield
B. A large golden egg
C. A wooden crate
D. A stack of towels
E. A glass jar

Correct Answer: B

Rationale:
The golden egg is clearly visible on the edge of the bath throughout the scene, most notably when the character first enters the water and when he later reaches out to pick it up.","In the pool area that was seen being filled by many different faucets, what object is resting on the marble ledge?",A silver shield,A large golden egg,A wooden crate,A stack of towels,A glass jar
1051_Harry_Potter_and_the_goblet_of_fire/segment_0066.mp4,"Question:
What is used to restrain the person in the red shirt against the stone monument?

A. A set of iron chains
B. The scythe of a stone statue
C. A length of heavy rope
D. A wooden crossbar
E. A pair of metal shackles

Correct Answer: B

Rationale:
In the target scene, the person in the red shirt is pinned against a monument by a large, grey object that they are seen gripping with both hands. The context established earlier shows a winged stone statue moving its scythe to trap the individual against the stone.",What is used to restrain the person in the red shirt against the stone monument?,A set of iron chains,The scythe of a stone statue,A length of heavy rope,A wooden crossbar,A pair of metal shackles
